scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,30.573,937.557,591.37,0.695652,18,0.782609,183.217,14,3105.5,3102.38,1292,1291
1,3,0,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,42.413,675.634,387.801,1,10,0.5,192.6,24,3032.96,3039.12,1293,1289
1,6,0,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,53.617,534.149,156.366,1,0,0,200,8,3056,3022.18,1291,1289
1,7,0,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,61.559,465.503,167.514,1,6,0.333333,161,16,3038.31,3009.27,1293,1289
1,5,0,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,66.087,433.729,147.32,1,3,0.176471,218.353,15,3120.36,3018.97,1293,1290
1,2,0,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,70.827,404.589,125.827,1,4,0.266667,172.933,24,3034.83,3023.69,1293,1289
1,1,0,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,75.413,379.666,118.175,1,1,0.0666667,196.667,24,3132.91,3041.53,1291,1288
1,8,1,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,45.228,633.758,470.852,0.705882,15,0.882353,700.118,14,3028.37,2973.59,1292,1291
1,3,1,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,36.592,783.112,335.369,1,0,0,119.333,24,3029.65,2966.2,1293,1289
1,6,1,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,27.205,1052.74,511.081,0.75,5,0.416667,575.667,8,3023.34,2993.13,1291,1289
1,7,1,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,21.285,1346.3,653.229,0.5,5,0.416667,110,16,3039.52,2988.9,1293,1289
1,5,1,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,19.68,1456.5,636.583,0.6,0,0,522.8,15,3073.32,2998.71,1293,1290
1,2,1,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,17.412,1645.75,813.227,0.538462,2,0.153846,193.692,24,3020.18,3046.1,1293,1289
1,8,2,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,13.797,2077.55,889.466,0.777778,0,0,126.889,14,3021.53,2994.67,1292,1291
1,1,1,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,15.739,1819.15,779.71,0.777778,0,0,126.889,24,3012.18,3013.81,1291,1288
1,3,2,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,14.571,1966.62,859.779,0.9,0,0,110,24,2991.91,2982.62,1293,1289
1,6,2,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,13.789,2077,889.975,1,0,0,118,8,3035.31,2978.52,1291,1289
1,7,2,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,13.776,2080.12,1235.76,1,7,0.538462,119.846,16,3042.44,2996.09,1293,1289
1,5,2,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,13.021,2201.34,942.466,1,0,0,231.333,15,3117.07,3017.01,1293,1290
1,1,2,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,10.509,2724.51,1210.39,1,5,0.454545,110.727,24,3026.45,3008.97,1291,1288
1,6,3,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,10.928,2620.75,1122.97,1,0,0,118,8,2995.38,3010.15,1291,1289
1,7,3,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,9.644,2971.36,1272.49,1,0,0,126.889,16,3032.68,3004.9,1293,1289
1,5,3,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,9.454,3031.93,1309.92,0.3,0,0,211.6,15,3060.26,2980.14,1293,1290
1,3,3,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,15.379,1863.26,1119.41,0.928571,8,0.571429,106.571,24,3021.76,2987.77,1293,1289
1,8,3,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,20.508,1397.63,1144.47,0.95,13,0.65,101.4,14,3013.26,3007.41,1292,1291
1,1,3,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,9.893,2894.15,1411.9,0.25,0,0,150,24,3021.79,2985.62,1291,1288
1,7,4,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,8.307,3449.27,1673.6,0.333333,5,0.416667,110,16,3040.83,2981.95,1293,1289
1,6,4,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,10.614,2698.32,1180.33,0.6,0,0,110,8,3024.78,2990.34,1291,1289
1,2,2,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,28.854,993.109,1045.79,0.862069,33,1.13793,140.621,24,3022.98,3010.95,1293,1289
1,5,4,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,13.776,2080.67,890.801,0.666667,0,0,231.333,15,3073.72,2995.98,1293,1290
1,3,4,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,13.886,2063.6,902.178,0.6,0,0,110,24,3038.67,3020.48,1293,1289
1,8,4,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,14.959,1916.1,837.459,0.6,0,0,118,14,3060.8,2997.12,1292,1291
1,1,4,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,14.241,2010.48,861.714,0.444444,0,0,126.889,24,3009.52,2990.12,1291,1288
1,7,5,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,13.997,2047.27,876.749,0.666667,0,0,121.556,16,3022.06,4115.19,1293,1289
1,6,5,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,13.751,2082.74,1129.8,0.266667,10,0.666667,94,8,3032.56,3006.26,1291,1289
1,2,3,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,15.742,1820.31,812.078,1,0,0,144.909,24,3019.23,3008,1293,1289
1,3,5,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,15.525,1845.78,895.578,1,5,0.416667,102.667,24,3031.83,2990.75,1293,1289
1,8,5,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,14.317,2002.09,875.041,1,0,0,115.6,14,3019.27,2992.75,1292,1291
1,1,5,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,14.712,1946.14,834.138,1,0,0,126.889,24,2994.4,2986.03,1291,1288
1,5,5,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,19.766,1450.12,870.964,1,8,0.571429,202.571,15,3274.98,2956.76,1293,1290
1,6,6,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,12.972,2207.81,1404.86,1,9,0.75,133.333,8,3015.55,3019.31,1291,1289
1,7,6,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,15.171,1888.83,1255,1,14,0.777778,117.333,16,3032.02,2981.24,1293,1289
1,3,6,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,12.462,2299.44,1136.24,1,5,0.384615,97.6923,24,3030.57,2981.42,1293,1289
1,8,6,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,13.603,2107.12,1353.78,1,10,0.769231,135.846,14,3010.86,3009.69,1292,1291
1,5,6,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,12.35,2320.94,993.673,0.777778,0,0,211.333,15,3089.74,2970,1293,1290
1,2,4,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,22.064,1298.77,848.441,1,11,0.733333,208.933,24,3035.11,2983.84,1293,1289
1,7,7,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,12.37,2316.53,992.059,1,0,0,126.889,16,3022.71,2982.78,1293,1289
1,6,7,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,13.944,2053.88,1293.14,1,2,0.181818,120.909,8,3014.41,2973.68,1291,1289
1,3,7,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,11.589,2472.65,1165.23,0.75,1,0.0833333,97.3333,24,3021.18,2994.97,1293,1289
1,8,7,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,10.205,2808.56,1202.44,1,0,0,126,14,3022.42,2976.54,1292,1291
1,5,7,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,10.519,2724.72,1166.54,1,0,0,231.333,15,3122.95,2991.97,1293,1290
1,1,6,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,26.101,1096.95,674.292,1,10,0.625,124.75,24,3203.9,2997.75,1291,1288
1,7,8,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,12.386,2313.54,999.821,0.6,0,0,117.6,16,3031.54,2989.14,1293,1289
1,2,5,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,14.872,1926.78,1654.6,0.894737,24,1.26316,161.789,24,2994.79,2969.63,1293,1289
1,3,8,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,9.422,3041.1,1329.52,0.9,0,0,112.4,24,3015.41,2983.9,1293,1289
1,5,8,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,11.553,2481.03,1062.21,1,0,0,231.333,15,3064.18,3031.6,1293,1290
1,8,8,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,14.566,1967.8,1186.28,1,7,0.5,106.571,14,3009.7,3004.17,1292,1291
1,1,7,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,12.541,2283,1014.24,1,5,0.454545,110.727,24,3004.87,2995.02,1291,1288
1,7,9,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,11.917,2404.57,1051.24,1,3,0.3,110,16,3165.29,3022.62,1293,1289
1,2,6,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,12.4,2310.88,1157.38,1,6,0.428571,292.857,24,3005.67,3030.46,1293,1289
1,3,9,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,10.823,2647.63,1133.85,1,0,0,118,24,3012.4,2992.39,1293,1289
1,6,8,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,29.908,957.599,795.503,1,21,0.954545,97.2727,8,3092.22,3015.53,1291,1289
1,5,9,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,12.128,2363.39,1511.83,1,9,0.692308,235.231,15,3066.31,2994.22,1293,1290
1,8,9,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,11.698,2450.27,1058.62,1,0,0,109.6,14,3015.24,2999.56,1292,1291
1,7,10,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,10.729,2670.88,1295.92,1,2,0.166667,141.333,16,3026.56,3005.43,1293,1289
1,3,10,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,12.831,2233.3,976.366,1,0,0,110,24,3027.8,3003.06,1293,1289
1,1,8,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,18.835,1520.08,1256.33,0.904762,15,0.714286,134,24,3033.3,3015.08,1291,1288
1,2,7,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,16.268,1761.44,870.392,1,2,0.153846,207.538,24,3003.49,2987.85,1293,1289
1,6,9,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,13.566,2111.12,1254.88,1,7,0.538462,111.846,8,3049.21,3062.45,1291,1289
1,5,10,ECDSA-SHA256_signed-by_ECDSA-SHA256,ECDSA-SHA256_signed-by_ECDSA-SHA256,12.96,2211.7,946.901,1,0,0,168.667,15,3076.89,2971.33,1293,1290
