scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,29.857,933.246,557.322,0.761905,15,0.714286,192.857,14,2400.85,2514,1243,1240
1,3,0,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,41.665,668.947,394.763,1,10,0.5,192.6,24,2387.92,2401.56,1244,1240
1,6,0,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,52.877,527.252,158.554,1,0,0,200,8,2394.68,2391.71,1244,1241
1,7,0,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,60.733,459.057,138.046,1,0,0,159.429,16,2409.75,2379.25,1245,1240
1,5,0,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,64.364,433.036,151.264,1,3,0.176471,218.353,15,2402.99,2379.58,1243,1241
1,2,0,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,68.973,404.33,129.209,1,1,0.0666667,172.933,24,2403.57,2399.4,1244,1242
1,1,0,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,74.739,373.028,123.201,1,2,0.125,215.625,24,2387.11,2385.91,1244,1241
1,8,1,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,45.96,606.258,494.684,0.789474,18,0.947368,620.737,14,2398.36,2360.98,1243,1240
1,6,1,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,29.637,940.706,414.072,1,0,0,735.333,8,2375.16,2366.08,1244,1241
1,7,1,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,23.352,1193.89,547.441,0.909091,0,0,111.455,16,2387.45,2362.7,1245,1240
1,3,1,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,43.207,645.066,546.195,0.761905,20,0.952381,192.286,24,2351.53,2355.38,1244,1240
1,5,1,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,22.613,1232.54,562.497,1,4,0.363636,467.818,15,2354.18,2344.8,1243,1241
1,2,1,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,18.433,1512.91,665.752,1,0,0,166,24,2427.32,2331.35,1244,1242
1,8,2,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,12.66,2200.93,969.347,1,0,0,125.111,14,2381.97,2380.31,1243,1240
1,1,1,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,14.568,1913.75,842.378,1,0,0,125.111,24,2375.47,2320.87,1244,1241
1,6,2,ECDSA-SHA256_signed-by_ED448,ECDSA-SHA256_signed-by_ED448,11.38,2449.89,1151.48,1,1,0.0909091,103.818,8,2382.23,2372.54,1244,1241
