scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,30.477,942.872,593.232,0.695652,18,0.782609,183.217,14,3046.18,3109.49,1298,1294
1,3,0,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,42.416,677.85,387.774,1,10,0.5,192.6,24,3030.94,3033.33,1299,1295
1,6,0,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,53.65,535.908,156.269,1,0,0,200,8,3062.32,3030.78,1299,1295
1,7,0,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,61.578,467.048,167.462,1,6,0.333333,161,16,3034.1,2996.24,1299,1296
1,5,0,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,66.113,434.769,147.262,1,3,0.176471,218.353,15,3040.96,3011.95,1298,1295
1,2,0,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,69.456,413.611,128.311,1,4,0.266667,172.133,24,3054.99,3006.33,1298,1293
1,1,0,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,72.598,395.93,122.757,1,1,0.0666667,197.467,24,3036.94,2990.35,1298,1295
1,8,1,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,42.591,674.687,500.005,0.705882,15,0.882353,702,14,3036.1,2976.06,1298,1294
1,3,1,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,36.789,781.526,333.573,0.777778,0,0,119.333,24,3031.28,2980.51,1299,1295
1,6,1,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,27.02,1064.09,514.578,0.583333,5,0.416667,577,8,3038.7,3010.51,1299,1295
1,7,1,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,21.685,1326.25,565.916,0.666667,0,0,126.889,16,3062.31,2984.93,1299,1296
1,5,1,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,18.731,1534.56,655.165,1,0,0,578.444,15,2998.05,3021.86,1298,1295
1,2,1,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,16.435,1747.97,1060.17,0.526316,12,0.631579,159.263,24,3028.63,2979.59,1298,1293
1,8,2,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,13.39,2145.93,916.443,1,0,0,126.889,14,3028.4,2976.55,1298,1294
1,1,1,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,14.713,1953.64,834.091,1,0,0,126.889,24,3027.26,2983.98,1298,1295
1,3,2,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,ECDSA-SHA3-256_signed-by_ECDSA-SHA3-384,13.547,2122.36,924.769,1,0,0,110,24,3009.28,2990.19,1299,1295
