scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,29.845,933.889,557.546,0.761905,15,0.714286,192.857,14,2457.73,2504.94,1244,1240
1,3,0,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,41.722,668.225,394.224,1,10,0.5,192.6,24,2427.41,2453.9,1244,1241
1,6,0,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,52.881,527.515,158.542,1,0,0,200,8,2422.49,2394.54,1245,1242
1,7,0,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,60.894,457.712,137.681,1,0,0,159.429,16,2387.79,2385.23,1243,1241
1,5,0,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,64.344,433.294,151.311,1,3,0.176471,218.353,15,2394.06,2354.36,1245,1240
1,2,0,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,68.972,404.22,129.211,1,1,0.0666667,172.933,24,2380.87,2403.63,1245,1240
1,1,0,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,74.772,372.757,123.147,1,2,0.125,215.625,24,2401.26,2368.6,1244,1240
1,8,1,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,45.948,606.59,494.813,0.789474,18,0.947368,620.737,14,2378.45,2334.95,1244,1240
1,6,1,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,29.675,940.04,413.542,1,0,0,735.333,8,2400.57,2410.23,1245,1242
1,7,1,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,23.202,1201.26,550.98,1,0,0,111.455,16,2370.14,2366.83,1243,1241
1,3,1,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,43.14,646.253,547.043,0.666667,20,0.952381,192.286,24,2380.31,2353.59,1244,1241
1,5,1,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,23.376,1192.65,535.924,1,0,0,510.8,15,2387.98,2364.92,1245,1240
1,2,1,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,19.498,1429.87,629.388,1,0,0,166,24,2376.77,2378.56,1245,1240
1,8,2,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,13.722,2031.18,894.324,1,0,0,125.111,14,2372.36,2371.32,1244,1240
1,1,1,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,15.787,1765.47,777.333,1,0,0,125.111,24,2380.13,2357.14,1244,1240
1,7,2,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,12.838,2171.01,1459.39,0.714286,9,0.642857,126.571,16,2367.02,2378.37,1243,1241
1,3,2,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,13.641,2043.78,1335.94,0.833333,9,0.75,132,24,2373.21,2357.05,1244,1241
1,5,2,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,11.273,2473.12,1088.6,0.666667,0,0,227.778,15,2362.96,2342.04,1245,1240
1,6,2,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,16.996,1641.26,1351.8,0.875,16,1,123.5,8,2388.18,2327.16,1245,1242
1,8,3,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,10.991,2535.85,1116.53,0.333333,0,0,125.111,14,2406.38,2379.6,1244,1240
1,1,2,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,10.934,2549.08,1122.35,0.333333,0,0,125.111,24,2365.67,2333.74,1244,1240
1,2,2,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,13.47,2069.72,1263.81,1,7,0.538462,156.154,24,2399.46,2361.13,1245,1240
1,7,3,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,7.77,3586.77,1579.25,1,0,0,125.111,16,2381.68,2354.29,1243,1241
1,6,3,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,10.897,2559.92,1126.16,1,0,0,117.111,8,2384.75,2399.78,1245,1242
1,3,3,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,12.451,2239.12,1367.24,1,7,0.538462,111.231,24,2347.86,2338.22,1244,1241
1,5,3,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,14.517,1920.42,1190.28,1,7,0.5,200.286,15,2346.97,2344.5,1245,1240
1,8,4,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,14.794,1883.92,864.094,1,0,0,109.273,14,2353.89,2384.8,1244,1240
1,7,4,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,11.167,2495.87,1121.85,1,0,0,116.4,16,2349.82,2321.41,1243,1241
1,1,3,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,15.037,1853.48,1224.66,1,14,1.07692,133.385,24,2381.23,2337.25,1244,1240
1,2,3,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,15.13,1842.62,1543.88,1,22,1.22222,161.111,24,2389.05,2361.11,1245,1240
1,6,4,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,12.954,2153.4,967.085,1,0,0,109.2,8,2381.76,2360.13,1245,1242
1,5,4,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,11.562,2411.31,1494.53,0.7,1,0.1,228.8,15,2367.45,2356.5,1245,1240
1,3,4,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,15.113,1844.7,1205.8,0.916667,9,0.75,132,24,2369.48,2559.53,1244,1241
1,8,5,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,11.22,2484.12,1110.86,0.2,5,0.5,116.4,14,2365.37,2354.01,1244,1240
1,7,5,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,11.19,2490.78,967.999,0.285714,0,0,135.143,16,2341.18,2363.37,1243,1241
1,2,4,ECDSA-SHA3-256_signed-by_ED448,ECDSA-SHA3-256_signed-by_ED448,11.939,2335.16,1148.48,0.181818,0,0,219.091,24,2367.74,2337.8,1245,1240
