scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,29.748,1230.6,577.113,0.714286,14,0.666667,197.81,14,2168.19,2274.09,1790,1786
1,3,0,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,44.158,828.832,388.781,1,14,0.666667,188.286,24,2149.01,2154.74,1789,1786
1,2,0,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,55.33,661.34,174.083,1,1,0.0625,226.75,24,2170.85,2172.68,1789,1785
1,6,0,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,65.101,561.956,139.844,1,0,0,164.667,8,2173.84,2176.03,1788,1785
1,7,0,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,73.194,499.928,128.425,1,1,0.0625,176.625,16,2179.73,2157.48,1789,1785
1,8,1,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,44.804,817.059,576.013,1,27,1.125,834.333,14,2155.77,2137.38,1790,1786
1,5,0,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,79.865,458.373,149.051,1,7,0.269231,194.308,15,2160.99,2168.12,1789,1787
1,3,1,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,38.11,960.362,622.188,0.809524,20,0.952381,885.048,24,2153.06,2110.4,1789,1786
1,2,1,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,27.508,1330.22,472.296,0.7,0,0,838,24,2165.84,2113.93,1789,1785
1,1,0,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,86.515,423.138,145.269,1,7,0.318182,190.636,24,2170.86,2200.89,1789,1787
1,6,1,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,23.245,1573.82,558.906,1,0,0,130.8,8,2181.18,2123.59,1788,1785
1,7,1,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,15.998,2287.27,812.095,0.6,0,0,140.8,16,2156.93,2128.41,1789,1785
1,8,2,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,18.32,1998.21,709.153,1,0,0,140.8,14,2162.52,2153.2,1790,1786
1,5,1,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,14.479,2528.33,964.699,1,0,0,293,15,2149.44,2122.15,1789,1787
1,3,2,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,18.287,2001.36,752.423,1,0,0,109.385,24,2126.69,2136.12,1789,1786
1,2,2,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,19.93,1835.96,1128.71,1,14,0.777778,185.556,24,2155.98,2113.8,1789,1785
1,1,1,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,17.048,2147.29,1404.93,1,18,1,144.889,24,2174.96,2138.65,1789,1787
1,6,2,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,16.919,2162.23,779.215,1,4,0.363636,122.364,8,2171.97,2121.41,1788,1785
1,8,3,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,14.17,2583.44,934.917,1,3,0.272727,127.091,14,2166.61,2152.43,1790,1786
1,5,2,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,15.651,2338.96,1251.26,1,17,1.0625,267.25,15,2302.37,2121.36,1789,1787
1,7,2,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,24.21,1511.42,740.842,1,12,0.8,124.133,16,2141.64,2127.29,1789,1785
1,2,3,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,12.83,2852.01,1012.61,1,0,0,190,24,2156.78,2180.28,1789,1785
1,3,3,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,17.082,2142.53,1472.37,1,22,1.29412,181.529,24,2159.18,2159.6,1789,1786
1,8,4,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,11.864,3085.59,1232.62,1,2,0.153846,174.308,14,2146.43,2133.18,1790,1786
1,6,3,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,15.683,2332.65,1468.04,1,10,0.555556,162,8,2136.97,2148.51,1788,1785
1,1,2,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,19.673,1860.74,1223.96,1,24,1.26316,139.263,24,2132.43,2121.23,1789,1787
1,5,3,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,17.145,2135.13,909.857,1,7,0.466667,358.8,15,2224.04,2141.34,1789,1787
1,7,3,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,22.096,1656.01,1070.21,1,21,1,330.19,16,2157.86,2133.43,1789,1785
1,3,4,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,20.868,1753.84,634.834,1,0,0,122.364,24,2154.61,2147.1,1789,1786
1,8,5,ECDSA-SHA3-256_signed-by_RSA-SHA224,ECDSA-SHA3-256_signed-by_RSA-SHA224,20.147,1817.01,644.85,1,0,0,140.8,14,2148.04,2153.28,1790,1786
