scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,30.491,939.291,592.96,0.695652,18,0.782609,183.217,14,3049.3,3114.84,1291,1289
1,3,0,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,42.489,674.049,387.108,1,10,0.5,192.6,24,3028.76,3042.49,1291,1289
1,6,0,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,53.633,533.841,156.319,1,0,0,200,8,3090.94,3032.29,1291,1288
1,7,0,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,61.581,465.207,167.454,1,6,0.333333,161,16,3030.82,3042.63,1292,1289
1,5,0,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,66.096,433.549,147.3,1,3,0.176471,218.353,15,3039.05,3025.16,1293,1289
1,2,0,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,70.674,405.351,126.099,1,4,0.266667,172.933,24,3047.27,3021.41,1293,1288
1,1,0,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,75.416,379.757,118.17,1,1,0.0666667,196.667,24,3053.54,3042.18,1293,1287
1,8,1,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,45.315,632.012,469.948,0.705882,15,0.882353,700.118,14,3030.7,2975.8,1291,1289
1,3,1,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,36.533,783.939,335.911,1,0,0,119.333,24,3038.66,2974.65,1291,1289
1,6,1,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,27.249,1050.75,510.255,0.75,5,0.416667,575,8,3019.87,2996.68,1291,1288
1,7,1,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,21.299,1345.04,652.8,0.5,5,0.416667,110,16,3020.9,3027.12,1292,1289
1,5,1,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,19.768,1449.61,633.749,0.6,0,0,522.8,15,3015.58,3091,1293,1289
1,2,1,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,17.179,1667.61,824.259,0.615385,2,0.153846,193.692,24,3013.75,3008.83,1293,1288
1,8,2,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,13.8,2075.35,889.271,0.888889,0,0,126.889,14,3023.83,2987.37,1291,1289
1,1,1,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,14.905,1921.48,823.34,0.888889,0,0,126.889,24,3012.54,2996.69,1293,1287
1,3,2,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,14.631,1957.47,856.254,1,0,0,110,24,2998.03,2974.88,1291,1289
1,6,2,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,13.852,2066.97,885.926,1,0,0,118,8,3062.24,3013.19,1291,1288
1,7,2,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,12.971,2208.61,946.105,1,0,0,126.889,16,3040.85,3017.79,1292,1289
1,5,2,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,15.367,1864.72,1452.42,1,11,0.733333,245.467,15,3014.47,3034.22,1293,1289
1,8,3,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,12.696,2255.8,1340.88,1,7,0.538462,119.846,14,3020.48,2979.45,1291,1289
1,2,2,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,15.465,1852.38,1100.77,1,7,0.538462,157.385,24,3014.32,2989.09,1293,1288
1,6,3,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,11.831,2420.03,1068.36,0.818182,0,0,103.091,8,2992.72,2988.14,1291,1288
1,3,3,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,13.974,2049.46,878.177,1,0,0,118,24,3017.2,3004.49,1291,1289
1,1,2,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,ECDSA-SHA3-384_signed-by_ECDSA-SHA512,18.161,1576.93,1292.38,1,17,0.85,120.2,24,2989.57,2984.21,1293,1287
