scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,29.734,1230.91,577.384,0.714286,14,0.666667,197.81,14,2195.35,2253.04,1789,1786
1,3,0,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,44.148,828.658,388.869,1,14,0.666667,188.286,24,2142.46,2147.6,1788,1785
1,2,0,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,55.33,661.485,174.083,1,1,0.0625,226.75,24,2177.06,2162.55,1789,1786
1,6,0,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,65.088,562.191,139.872,1,0,0,164.667,8,2186.56,2167.18,1788,1786
1,7,0,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,73.193,499.935,128.427,1,1,0.0625,176.625,16,2159.53,2169.23,1789,1785
1,8,1,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,44.773,817.446,576.411,1,27,1.125,834.333,14,2154.78,2158.23,1789,1786
1,5,0,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,79.891,458.124,149.003,1,7,0.269231,194.308,15,2178.86,2197.53,1789,1786
1,3,1,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,38.099,960.219,622.368,0.809524,20,0.952381,884.095,24,2152.53,2104.38,1788,1785
1,2,1,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,27.495,1331.14,472.52,0.7,0,0,838,24,2157.52,2105.54,1789,1786
1,1,0,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,ECDSA-SHA3-384_signed-by_RSA-SHA3-256,86.491,423.255,145.309,1,7,0.318182,190.636,24,2177.18,2184.26,1790,1786
