scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,30.457,943.229,593.622,0.695652,18,0.782609,183.217,14,3045.08,3106.26,1297,1294
1,3,0,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,42.452,676.898,387.445,1,10,0.5,192.6,24,3042.14,3054.99,1297,1295
1,6,0,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,53.635,535.462,156.313,1,0,0,200,8,3068.99,3023.36,1296,1294
1,7,0,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,61.582,466.888,167.451,1,6,0.333333,161,16,3022.25,3013.55,1297,1297
1,5,0,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,66.106,434.815,147.278,1,3,0.176471,218.353,15,3046.58,3010.03,1298,1295
1,2,0,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,69.43,413.766,128.359,1,4,0.266667,172.133,24,3061.67,2995.02,1297,1294
1,1,0,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,72.625,395.563,122.711,1,1,0.0666667,197.467,24,3025.36,3025.64,1297,1294
1,8,1,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,42.578,674.705,500.158,0.705882,15,0.882353,702,14,3025.91,2977.59,1297,1294
1,3,1,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,36.759,781.728,333.845,0.777778,0,0,119.333,24,3059.58,3009.05,1297,1295
1,6,1,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,ECDSA-SHA512_signed-by_ECDSA-SHA3-384,27,1063.7,514.96,0.583333,5,0.416667,576.333,8,3024.18,2999.9,1296,1294
