scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,29.738,1231.01,577.307,0.714286,14,0.666667,197.81,14,2187.01,2264.04,1790,1786
1,3,0,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,44.16,828.795,388.764,1,14,0.666667,188.286,24,2161.74,2154.73,1789,1786
1,2,0,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,55.336,661.413,174.064,1,1,0.0625,226.75,24,2159.35,2171.47,1790,1785
1,6,0,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,65.075,562.303,139.9,1,0,0,164.667,8,2171.52,2149.38,1789,1785
1,7,0,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,73.21,500.037,128.397,1,1,0.0625,176.625,16,2162.19,2170.61,1789,1787
1,8,1,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,44.739,818.246,576.849,1,27,1.125,834.333,14,2150.11,2128.79,1790,1786
1,5,0,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,79.857,458.419,149.066,1,7,0.269231,194.308,15,2191.75,2147.76,1790,1786
1,3,1,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,38.101,960.589,622.335,0.809524,20,0.952381,885.048,24,2150.12,2103.7,1789,1786
1,2,1,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,27.52,1329.93,472.09,0.7,0,0,838,24,2207.46,2121.57,1790,1785
1,1,0,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,86.486,423.187,145.317,1,7,0.318182,190.636,24,2182.35,2170.58,1789,1786
1,6,1,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,23.275,1572.13,558.185,1,0,0,130.8,8,2160.08,2126.39,1789,1785
1,7,1,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,15.968,2292.57,813.621,0.6,0,0,140.8,16,2161.35,2111.04,1789,1787
1,8,2,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,18.46,1983.05,703.775,1,0,0,140.8,14,2158.76,2211.93,1790,1786
1,5,1,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,14.323,2555.87,975.206,1,0,0,293,15,2167.17,2107.24,1790,1786
1,3,2,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,16.698,2191.82,949.55,1,7,0.4375,103.5,24,2140,2119.27,1789,1786
1,2,2,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,18.623,1965.24,1358.27,1,26,1.08333,156.667,24,2109.41,2122.97,1790,1785
1,6,2,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,16.218,2256.17,823.745,1,0,0,115,8,2163.43,2129.3,1789,1785
1,1,1,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,18.822,1944.46,1272.5,1,18,1,144.889,24,2150.3,2131.31,1789,1786
1,8,3,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,13.079,2798.94,993.331,1,0,0,140.8,14,2139.59,2146.41,1790,1786
1,5,2,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,13.888,2635.88,1291.44,1,14,0.933333,226.267,15,2157.27,2126.98,1790,1786
1,7,2,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,24.66,1484.49,737.701,1,8,0.5,118.75,16,2146.63,2125.06,1789,1787
1,2,3,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,14.25,2568.35,1424.8,1,17,0.73913,317.826,24,2141.14,2125.3,1790,1785
1,1,2,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,14.253,2567.77,924.959,1,7,0.636364,131.455,24,2133.7,2358.84,1789,1786
1,6,3,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,16.715,2189.07,1061.51,1,7,0.5,121.429,8,2145.91,2114.06,1789,1785
1,3,3,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,23.47,1559.41,1524.98,1,41,1.70833,173.333,24,2142.36,2122.85,1789,1786
1,8,4,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,17.199,2128.4,1065.13,1,14,0.823529,114,14,2175.68,2171.85,1790,1786
1,5,3,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,17.084,2142.72,1156.58,1,2,0.111111,322.667,15,2177.52,2133.24,1790,1786
1,7,3,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,13.36,2740.03,1417.92,1,15,1.15385,165.692,16,2157.32,2119.35,1789,1787
1,2,4,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,14.631,2501.49,905.458,1,0,0,176.182,24,2138.47,2111.1,1790,1785
1,6,4,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,17.324,2112.17,749.927,1,0,0,130.8,8,2146.1,2144.38,1789,1785
1,3,4,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,17.266,2119.73,767.273,1,0,0,122.364,24,2140.43,2107.83,1789,1786
1,5,4,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,15.307,2391.56,848.754,1,0,0,264,15,2158.54,2117.64,1790,1786
1,8,5,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,18.489,1979.95,829.882,0.785714,3,0.214286,209.143,14,2126.53,2111.46,1790,1786
1,1,3,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,22.761,1607.97,1030.5,1,18,0.9,542.6,24,2161.02,2128.69,1789,1786
1,2,5,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,12.711,2879.18,1022.03,0,0,0,190,24,2163.58,2133.19,1790,1785
1,7,4,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,17.661,2072.79,1328.11,0.4,20,1,344.8,16,2148.48,2103.49,1789,1787
1,6,5,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,13.021,2810.02,997.698,0.9,0,0,130.8,8,2156.97,2123.8,1789,1785
1,3,5,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,13.607,2689.78,954.798,0.9,0,0,130.8,24,2145.62,2130,1789,1786
1,8,6,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,12.392,2954.16,1431.89,0.642857,7,0.5,130.286,14,2118.76,2131.45,1790,1786
1,2,6,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,11.855,3087.06,1095.82,0.9,0,0,199.6,24,2137.68,2157.09,1790,1785
1,5,5,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,15.748,2324.58,1126.73,1,7,0.5,239.714,15,2218.12,2144.61,1790,1786
1,1,4,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,15.14,2417.41,1171.98,1,7,0.5,130.286,24,2223.9,2128.9,1789,1786
1,7,5,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,13.174,2778.8,1179.29,1,8,0.533333,113.733,16,2146.25,2120.08,1789,1787
1,6,6,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,17.042,2147.13,777.361,1,0,0,122.364,8,2107.46,2135.18,1789,1785
1,3,6,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,16.109,2272,822.39,1,0,0,122.364,24,2151.98,2109.2,1789,1786
1,8,7,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,16.83,2175.13,787.153,1,0,0,131.455,14,2146.44,2113.79,1790,1786
1,1,5,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,14.032,2608.31,925.878,0.6,0,0,140.8,24,2152.7,2117.26,1789,1786
1,7,6,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,14.512,2522.57,895.249,0.6,0,0,140.8,16,2169.21,2145.18,1789,1787
1,2,7,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,18.703,1956.86,1012.86,1,11,0.846154,227.538,24,2129.87,2105.53,1790,1785
1,5,6,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,19.117,1914.89,1312.3,1,23,1.35294,408.824,15,2151.87,2129.26,1790,1786
1,6,7,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,12.639,2895.14,1027.92,1,0,0,130.8,8,2132.18,2134.55,1789,1785
1,8,8,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,11.882,3080.94,1093.41,1,0,0,140.8,14,2155.52,2137.04,1790,1786
1,3,7,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,16.299,2245.47,972.791,1,7,0.4375,103.5,24,2143.64,2109.84,1789,1786
1,1,6,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,15.02,2436.7,864.96,1,0,0,164.8,24,2144.41,2136.18,1789,1786
1,2,8,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,14.628,2501.99,905.637,1,0,0,176.182,24,2142.76,2117.23,1790,1785
1,7,7,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,17.401,2103.71,1394.81,1,21,1.05,132.4,16,2125.51,2140.59,1789,1787
1,5,7,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,17.129,2137.11,1450.58,1,21,0.954545,221.273,15,2171.22,2098.24,1790,1786
1,6,8,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,13.681,2674.6,1140.24,1,7,0.466667,107.867,8,2164.03,2100.58,1789,1785
1,8,9,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,15.829,2312.64,836.915,1,0,0,131.455,14,2157.24,2130.22,1790,1786
1,3,8,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,15.187,2409.88,1027.16,0.933333,7,0.466667,107.867,24,2111.28,2117.43,1789,1786
1,1,7,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,14.979,2443.35,1264.67,1,11,0.846154,165.692,24,2139.7,2127.09,1789,1786
1,2,9,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,14.737,2483.48,898.94,1,0,0,176.182,24,2158.11,2127.73,1790,1785
1,7,8,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,14.426,2537.58,900.576,1,0,0,130.8,16,2148.43,2138.28,1789,1787
1,5,8,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,13.954,2623.44,949.391,1,0,0,176.182,15,2159.4,2133.1,1790,1786
1,6,9,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,14.355,2549.02,922.864,1,0,0,122.364,8,2169.95,2123.37,1789,1785
1,8,10,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,15.335,2387.17,1157.07,1,7,0.5,130.286,14,2148.14,2130.8,1790,1786
1,2,10,ECDSA-SHA512_signed-by_RSA-SHA224,ECDSA-SHA512_signed-by_RSA-SHA224,12.718,2877.78,1206.46,1,7,0.5,160.286,24,2124.63,2129.41,1790,1785
