scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,29.711,1231.59,577.831,0.714286,14,0.666667,197.81,14,2215.24,2239.65,1788,1786
1,3,0,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,44.152,828.945,388.834,1,14,0.666667,188.286,24,2148.97,2151.36,1789,1786
1,2,0,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,55.391,660.757,173.891,1,1,0.0625,226.75,24,2182.5,2188.21,1789,1786
1,6,0,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,65.071,562.707,139.908,1,0,0,164.667,8,2190.46,2156.08,1790,1787
1,7,0,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,73.187,499.976,128.437,1,1,0.0625,176.625,16,2168.69,2161.23,1789,1785
1,8,1,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,44.756,817.578,576.63,1,27,1.125,834.333,14,2176.77,2115.57,1788,1786
1,5,0,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,79.863,458.184,149.055,1,7,0.269231,194.308,15,2185.83,2162.08,1788,1786
1,3,1,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,38.104,960.513,622.286,0.809524,20,0.952381,885.048,24,2186.08,2104.44,1789,1786
1,2,1,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,27.457,1332.99,473.174,0.7,0,0,838,24,2149.94,2125.79,1789,1786
1,1,0,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,86.497,423.319,145.299,1,7,0.318182,190.636,24,2170.49,2180.05,1790,1787
1,6,1,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,23.306,1571.07,557.443,1,0,0,130.8,8,2156.41,2152.8,1790,1787
1,7,1,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,15.988,2288.7,812.603,0.6,0,0,140.8,16,2137.05,2123.5,1789,1785
1,8,2,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,18.356,1993.42,707.763,1,0,0,140.8,14,2246.71,2109.41,1788,1786
1,5,1,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,14.33,2553.5,974.73,1,0,0,293,15,2194.51,2113.55,1788,1786
1,3,2,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,16.69,2192.87,950.005,1,7,0.4375,103.5,24,2165.56,2111.46,1789,1786
1,2,2,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,18.636,1963.86,1251.72,1,21,0.954545,158.727,24,2353.94,2135.61,1789,1786
1,6,2,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,15.226,2404.76,900.537,1,1,0.0909091,123.818,8,2152.83,2102.19,1790,1787
1,1,1,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,18.685,1959.58,1295.54,1,18,0.947368,139.263,24,2162.18,2149.26,1790,1787
1,8,3,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,12.892,2838.32,1007.75,1,0,0,140.8,14,2159.67,2124.84,1788,1786
1,5,2,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,13.04,2806.08,1290.77,1,2,0.166667,252.333,15,2185.31,2150.34,1788,1786
1,3,3,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,12.394,2953.01,1294.81,1,11,0.647059,99.6471,24,2171.19,2124.7,1789,1786
1,7,2,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,22.738,1609.28,800.067,1,8,0.5,118.75,16,2136.51,2130.61,1789,1785
1,1,2,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,12.361,2962.2,1051.04,1,0,0,140.8,24,2153.18,2137.02,1790,1787
1,8,4,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,15.776,2319.4,855.958,1,0,0,123.667,14,2121.51,2146.51,1788,1786
1,6,3,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,19.246,1902.45,1612.74,1,38,1.9,176,8,2159.64,2134.16,1790,1787
1,5,3,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,16.193,2259.68,1188.63,1,13,0.8125,219,15,2165.01,2108.98,1788,1786
1,7,3,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,12.423,2945.47,1255.72,1,11,0.733333,115.333,16,2150.83,2120.05,1789,1785
1,3,4,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,14.871,2461.11,1977.49,1,24,0.96,199.12,24,2145.64,2266.46,1789,1786
1,1,3,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,18.61,1967.49,953.442,1,7,0.5,130.286,24,2155.01,2113.16,1790,1787
1,2,3,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,37.465,976.91,423.221,1,3,0.1875,404.5,24,2143.96,2124.8,1789,1786
1,5,4,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,16.141,2267,1453.18,1,20,1,674,15,2172.16,2138.43,1788,1786
1,3,5,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,14.18,2580.92,916.156,1,0,0,130.8,24,2167.53,2120.51,1789,1786
1,6,4,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,22.095,1657.16,699.506,1,3,0.2,168.4,8,2174.8,2125.58,1790,1787
1,1,4,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,13.246,2764.28,980.816,0.6,0,0,140.8,24,2122.66,2136.6,1790,1787
1,7,4,ECDSA-SHA512_signed-by_RSA-SHA3-512,ECDSA-SHA512_signed-by_RSA-SHA3-512,25.88,1413.86,783.896,1,11,0.578947,281.158,16,2156.07,2123.83,1789,1785
