scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,28.052,955.366,586.338,0.7,13,0.65,200.6,14,1217.34,1796.99,1177,1173
1,3,0,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,40.359,664.23,371.858,1,10,0.555556,206.667,24,1203.03,1181.59,1177,1174
1,6,0,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,51.877,516.751,161.61,1,0,0,200,8,1210.84,1212.22,1177,1174
1,7,0,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,60.243,445.129,144.082,1,1,0.0666667,181.333,16,1214.95,1187.25,1177,1175
1,2,0,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,65.664,408.257,113.791,1,1,0.0769231,188.154,24,1215.35,1188.67,1177,1174
1,5,0,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,70.348,381.073,151.133,1,8,0.380952,209.714,15,1196.14,1182.49,1177,1174
1,8,1,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,42.728,627.213,575.913,1,22,1.15789,611.895,14,1196.16,1159.21,1177,1173
1,1,0,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,74.967,357.486,150.998,1,6,0.3,207.1,24,1187.62,1180.29,1177,1173
1,3,1,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,35.711,750.683,389.342,0.75,5,0.416667,137,24,1172.6,1167.94,1177,1174
1,6,1,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,26.045,1029.29,471.182,1,0,0,716.667,8,1191.15,1163.99,1177,1174
1,7,1,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,19.799,1354.41,619.828,1,0,0,123.333,16,1198.64,1155.17,1177,1175
1,2,1,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,17.089,1568.71,802.381,1,0,0,184.909,24,1198.72,1172.87,1177,1174
1,8,2,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,14.606,1834.85,1281.65,0.9375,7,0.4375,136,14,1192.28,1166.17,1177,1173
1,1,1,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,11.61,2308.34,1073.55,1,5,0.5,367.6,24,1180.27,1150.85,1177,1173
1,5,1,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,18.052,1485.01,1022.8,1,9,0.6,266.8,15,1204.64,1190.8,1177,1174
1,6,2,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,13.798,1942.84,1233.77,0.692308,7,0.538462,110,8,1181.55,1170.7,1177,1174
1,7,2,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,13.666,1962.2,811.34,1,0,0,126,16,1182.9,1198.21,1177,1175
1,2,2,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,12.436,2155.67,986.809,1,0,0,163.333,24,1186.19,1175.31,1177,1174
1,3,2,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,21.725,1233.92,1285.84,1,29,1.16,132.08,24,1190.36,1158.66,1177,1174
1,8,3,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,12.952,2069.16,947.492,1,0,0,123.333,14,1180.92,1159.96,1177,1173
1,5,2,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,12.744,2103.57,983.045,1,0,0,204.8,15,1199.56,1156.69,1177,1174
1,1,2,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,15.243,1758.15,899.545,1,0,0,555.091,24,1159.23,1150.42,1177,1173
1,6,3,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,12.463,2151,889.669,1,0,0,118,8,1202.38,1175.17,1177,1174
1,7,3,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,14.059,1907.35,1528.39,1,19,1.05556,166.444,16,1201.87,1188.83,1177,1175
1,2,3,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,16.287,1645.93,1060.94,1,7,0.5,146,24,1177.43,1176.85,1177,1174
1,8,4,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,13.833,1937.36,887.139,1,0,0,123.333,14,1187.17,1167.96,1177,1173
1,3,3,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,15.041,1782.29,1240.32,0.8125,12,0.75,162.5,24,1186.03,1169.45,1177,1174
1,5,3,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,12.21,2195.57,887.137,1,0,0,258,15,1182.12,1162.5,1177,1174
1,1,3,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,14.821,1808.2,765.383,1,0,0,375.778,24,1179.55,1157.88,1177,1173
1,6,4,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,13.776,1945.97,1340.28,1,10,0.666667,132.4,8,1186.7,1174.57,1177,1174
1,7,4,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,12.176,2202.2,1450.61,1,2,0.142857,142.286,16,1185.88,1168.7,1177,1175
1,8,5,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,12.195,2197.62,1006.31,1,0,0,123.333,14,1211.14,1169.04,1177,1173
1,2,4,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,17.449,1536.33,717.961,1,0,0,150.8,24,1184.67,1169.77,1177,1174
1,5,4,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,16.538,1620.96,1276.06,1,13,0.8125,353.25,15,1195.41,1221.73,1177,1174
1,3,4,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,17.82,1504.34,699.422,1,2,0.2,150,24,1181.17,1184.23,1177,1174
1,1,4,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,16.49,1625.2,1567.95,1,23,1.15,595.2,24,1273.41,1159.33,1177,1173
1,5,5,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,5.61,4778.14,2187.31,1,3,0.333333,223.333,15,1181.47,1175.37,1177,1174
1,6,5,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,19.507,1374.23,966.186,1,10,0.588235,121.294,8,1246.09,1165.52,1177,1174
1,2,5,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,10.308,2600.47,1190.43,1,0,0,163.333,24,1212.29,1156.16,1177,1174
1,3,5,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,13.08,2049.5,1411.59,1,7,0.466667,132.4,24,1183.08,1175.66,1177,1174
1,7,5,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,26.432,1014.52,886.187,1,17,0.944444,135.111,16,1184.15,1156.82,1177,1175
1,8,6,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,22.695,1180.83,758.55,1,8,0.571429,111.714,14,1188.42,1156.82,1177,1173
1,1,5,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,16.391,1635,863.866,1,2,0.153846,476.154,24,1171.61,1155.9,1177,1173
1,5,6,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,14.769,1815.13,1263.17,0.6875,9,0.5625,252.5,15,1192.85,1156.65,1177,1174
1,6,6,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,16.484,1626.27,1121.07,1,12,0.923077,122.308,8,1188.18,1186.55,1177,1174
1,2,6,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,15.112,1773.94,1205.92,1,9,0.75,201.667,24,1188.78,1153.95,1177,1174
1,3,6,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,13.461,1991.39,911.605,1,0,0,115.333,24,1202.32,1188.17,1177,1174
1,7,6,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,11.981,2238.04,904.029,1,0,0,138.571,16,1179.25,1157.15,1177,1175
1,8,7,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,15.516,1727.23,790.918,1,0,0,123.333,14,1191.14,1169.82,1177,1173
1,5,7,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,17.621,1521.33,1048.73,1,9,0.692308,227.538,15,1207.23,1177.42,1177,1174
1,2,7,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,14.467,1853.02,848.263,1,0,0,163.333,24,1179.77,1167.32,1177,1174
1,6,7,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,16.144,1660.52,1155.58,0.625,9,0.5625,126.5,8,1178.63,1173.28,1177,1174
1,3,7,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,13.609,1969.87,939.376,1,0,0,101.273,24,1184.09,1159.54,1177,1174
1,1,6,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,22.827,1174.01,1070.27,1,18,1.125,607.5,24,1180.46,1173.21,1177,1173
1,7,7,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,15.377,1743.88,1200.74,1,10,0.666667,143.6,16,1234.17,1167.59,1177,1175
1,8,8,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,13.594,1971.43,1690.13,1,16,1,130,14,1176.22,1163.41,1177,1173
1,6,8,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,7.449,3598.52,1454.01,1,0,0,129.429,8,1183.8,1175.77,1177,1174
1,2,8,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,12.292,2180.9,1019.19,1,0,0,150.8,24,1191.52,1155.71,1177,1174
1,5,8,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,13.878,1931.65,884.26,1,0,0,218.889,15,1187.22,1155.9,1177,1174
1,1,7,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,12.055,2223.12,1017.99,0.888889,0,0,354.444,24,1190.56,1163.67,1177,1173
1,7,8,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,12.246,2189.75,1135.38,0.166667,2,0.166667,148,16,1185.35,1176.21,1177,1175
1,8,9,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,12.265,2185.04,1016.21,0.8,5,0.5,114.8,14,1196.35,1179.82,1177,1173
1,3,8,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,19.417,1380.58,951.699,1,9,0.692308,122.308,24,1180.97,1188.95,1177,1174
1,6,9,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,13.597,1971.57,1128.46,0.428571,5,0.357143,135.714,8,1184.55,1161.28,1177,1174
1,2,9,ED25519_signed-by_ECDSA-SHA512,ED25519_signed-by_ECDSA-SHA512,12.722,2107.17,964.609,0.666667,0,0,163.333,24,1189.68,1159.77,1177,1174
