scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ED25519_signed-by_ED25519,ED25519_signed-by_ED25519,26.657,901.824,563.002,0.777778,10,0.555556,213.778,14,392.365,468.619,1004,1001
1,3,0,ED25519_signed-by_ED25519,ED25519_signed-by_ED25519,38.951,617.178,385.3,1,10,0.555556,206.667,24,392.063,370.117,1004,1001
1,2,0,ED25519_signed-by_ED25519,ED25519_signed-by_ED25519,49.861,482.14,178.737,1,1,0.0666667,199.867,24,379.355,384.126,1004,1001
1,6,0,ED25519_signed-by_ED25519,ED25519_signed-by_ED25519,55.786,430.931,124.475,1,0,0,186.333,8,380.539,377.557,1004,1001
1,7,0,ED25519_signed-by_ED25519,ED25519_signed-by_ED25519,62.439,385.013,134.274,1,0,0,159.429,16,382.387,382.079,1004,1001
1,5,0,ED25519_signed-by_ED25519,ED25519_signed-by_ED25519,67.682,355.188,130.728,1,4,0.235294,216.824,15,381.79,391.008,1004,1001
1,8,1,ED25519_signed-by_ED25519,ED25519_signed-by_ED25519,48.375,496.943,469.987,1,16,0.842105,519.684,14,379.333,354.878,1004,1001
1,1,0,ED25519_signed-by_ED25519,ED25519_signed-by_ED25519,78.897,304.701,139.726,1,5,0.263158,183.263,24,398.77,399.945,1004,1001
1,6,1,ED25519_signed-by_ED25519,ED25519_signed-by_ED25519,24.121,996.605,568.446,0.272727,0,0,732.545,8,360.802,385.771,1004,1001
1,3,1,ED25519_signed-by_ED25519,ED25519_signed-by_ED25519,42.477,565.944,636.946,0.947368,22,1.15789,518.211,24,367.65,348.002,1004,1001
1,2,1,ED25519_signed-by_ED25519,ED25519_signed-by_ED25519,31.997,751.316,569.55,0.5,7,0.583333,764.667,24,356.899,349.47,1004,1001
1,7,1,ED25519_signed-by_ED25519,ED25519_signed-by_ED25519,20.371,1180.05,823.878,0.3,7,0.7,138,16,369.368,351.174,1004,1001
