scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,26.765,1298.71,560.73,0.666667,10,0.555556,213.778,14,315.152,393.834,1674,1671
1,3,0,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,40.958,848.664,366.42,1,10,0.555556,206.667,24,313.953,303.02,1674,1671
1,6,0,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,52.723,659.283,131.705,1,0,0,186.333,8,301.279,310.053,1674,1671
1,7,0,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,62.049,560.2,151.493,1,1,0.0625,176.625,16,310.227,311.947,1674,1671
1,5,0,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,66.437,523.2,129.325,1,4,0.25,227.25,15,297.758,293.725,1674,1671
1,2,0,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,72.243,481.151,103.428,1,1,0.0769231,187.231,24,291.073,297.552,1674,1671
1,8,1,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,48.339,719.079,702.695,1,41,1.57692,843.077,14,293.091,267.228,1674,1671
1,1,0,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,78.625,442.094,156.081,1,6,0.285714,176.476,24,303.794,292.445,1674,1671
1,3,1,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,40.178,865.139,525.256,1,17,1.0625,246.25,24,282.531,266.943,1674,1671
1,6,1,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,28.933,1201.39,532.539,0.857143,0,0,660.571,8,279.576,276.209,1674,1671
1,5,1,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,18.159,1914.1,715.421,0.8,0,0,1601.6,15,276.138,264.089,1674,1671
1,7,1,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,23.455,1481.98,461.819,1,0,0,161.429,16,280.858,275.501,1674,1671
1,2,1,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,15.117,2299.26,1538.84,0.578947,17,0.894737,335.684,24,275.596,261.138,1674,1671
1,8,2,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,13.486,2577.32,963.307,1,0,0,234.4,14,288.089,269.695,1674,1671
1,1,1,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,13.276,2618.07,997.819,1,0,0,128.545,24,279.193,263.261,1674,1671
1,3,2,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,13.156,2641.95,987.462,1,0,0,216,24,287.339,263.779,1674,1671
1,5,2,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,11.971,2903.45,1265.63,0.846154,0,0,228.462,15,288.716,260.174,1674,1671
1,6,2,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,18.11,1919.34,731.515,1,0,0,120.182,8,292.305,259.913,1674,1671
1,7,2,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,15.076,2305.63,861.759,1,0,0,234.4,16,288.764,271.29,1674,1671
1,8,3,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,14.124,2461.04,919.846,1,0,0,234.4,14,280.055,259.909,1674,1671
1,2,2,ED25519_signed-by_RSA-SHA384,ED25519_signed-by_RSA-SHA384,15.858,2191.91,1342.89,1,24,1.41176,506.941,24,298.811,260.346,1674,1671
