scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,28.595,982.546,575.204,0.7,13,0.65,200.6,14,1552.83,2120.34,1258,1254
1,3,0,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,41.087,684.003,400.316,1,13,0.65,192.6,24,1542.33,1508.46,1258,1255
1,2,0,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,52.105,539.218,171.039,1,1,0.0666667,199.867,24,1556.32,1544.05,1258,1254
1,6,0,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,60.111,467.4,139.475,1,0,0,200,8,1561.75,1747.49,1258,1254
1,7,0,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,69.144,406.338,125.534,1,1,0.0666667,181.333,16,1552.71,1532.64,1258,1254
1,5,0,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,71.144,394.915,141.009,1,4,0.222222,213.333,15,1541.37,1608.52,1258,1254
1,8,1,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,46.68,601.876,456.206,1,15,0.882353,688.824,14,1527.71,1517.13,1258,1254
1,1,0,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,80.82,347.636,136.402,1,5,0.263158,183.263,24,1546.23,1531.46,1258,1254
1,2,1,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,29.452,953.956,416.677,1,0,0,743.778,24,1541.76,1529.03,1258,1254
1,6,1,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,25.954,1082.51,712.016,1,9,0.692308,124.769,8,1530.73,1499.24,1258,1254
1,3,1,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,45.742,614.4,579.247,1,23,1,497.478,24,1534.26,1489.11,1258,1255
1,7,1,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,18.18,1545.41,1002.41,1,9,0.75,142.667,16,1552.63,1494.78,1258,1254
1,8,2,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,12.886,2180.35,952.35,1,0,0,126,14,1520.4,1504.33,1258,1254
1,5,1,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,18.714,1501.31,1231.14,1,12,0.75,209.5,15,1524.23,1627.56,1258,1254
1,2,2,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,13.653,2057.82,1334.77,1,9,0.75,192,24,1532.99,1505.1,1258,1254
1,8,3,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,7.919,3547.6,1581.88,1,0,0,117.2,14,1522.89,1487.84,1258,1254
1,7,2,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,13.429,2092.15,985.312,1,5,0.384615,98.9231,16,1520.83,1504.81,1258,1254
1,3,2,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,14.413,1949.86,851.435,1,0,0,117.111,24,1537.97,1478.93,1258,1255
1,6,2,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,16.219,1732.24,1139.37,1,9,0.692308,124.769,8,1517.06,1481.44,1258,1254
1,5,2,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,14.605,1923.68,1339.78,1,14,0.777778,236.889,15,1519.63,1506.69,1258,1254
1,1,1,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,24.596,1142.29,957.546,1,19,1,162.211,24,1513.66,1480.69,1258,1254
1,8,4,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,14.579,1927.12,760.531,1,0,0,129,14,1538.23,1506.69,1258,1254
1,3,3,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,14.618,1922.54,874.527,1,0,0,102.727,24,1526.79,1498.37,1258,1255
1,7,3,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,16.04,1751.59,1315.69,1,13,0.8125,265.5,16,1533.35,1489.58,1258,1254
1,6,3,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,15.517,1810.63,790.863,1,0,0,117.111,8,1518.45,1525.06,1258,1254
