scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,29.454,1149.72,582.873,0.714286,14,0.666667,197.81,14,2100.18,2148.78,1618,1615
1,3,0,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,43.515,778.573,394.526,1,14,0.666667,188.286,24,2068.44,2037.58,1618,1617
1,6,0,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,55.273,612.802,164.707,1,0,0,228.667,8,2067.87,2049.18,1618,1616
1,7,0,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,64.502,525.129,145.731,1,1,0.0625,176.625,16,2064.69,2032.75,1618,1616
1,5,0,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,68.46,494.885,157.054,1,4,0.210526,254.211,15,2102.78,2042,1618,1617
1,2,0,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,72.061,469.932,138.992,1,9,0.5,156.444,24,2071.51,2041.2,1618,1615
1,8,1,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,45.434,745.336,626.483,1,27,1.08,762.96,14,2029.46,2188.59,1618,1615
1,1,0,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,80.496,420.786,152.453,1,6,0.285714,176.476,24,2059.56,2022.14,1618,1616
1,3,1,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,38.278,885.092,400.851,1,3,0.214286,171.714,24,2011.55,1996.24,1618,1617
1,6,1,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,27.005,1254.28,481.094,1,0,0,592.4,8,2050.4,1981.97,1618,1616
1,7,1,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,20.629,1641.95,629.79,1,0,0,136,16,2054.41,2010.99,1618,1616
1,5,1,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,18.978,1785.2,1311.81,1,22,1.375,418,15,2091.31,1980.72,1618,1617
1,8,2,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,13.429,2521.52,967.387,0.8,0,0,136,14,2036,2008.57,1618,1615
1,2,1,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,17.282,1959.47,1151.7,0.470588,7,0.411765,240.353,24,2077.64,1993.53,1618,1615
1,1,1,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,12.61,2686.1,1517.51,1,16,1.14286,149.714,24,2028.39,2005.56,1618,1616
1,6,2,RSA-SHA3-224_signed-by_ECDSA-SHA256,RSA-SHA3-224_signed-by_ECDSA-SHA256,12.613,2685.46,1030.04,0.9,0,0,126.8,8,2012.6,2009.52,1618,1616
