scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,29.513,1150.68,581.708,0.714286,14,0.666667,197.81,14,2073.03,2208.83,1624,1621
1,3,0,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,43.529,780.344,394.399,1,14,0.666667,188.286,24,2085.41,2038.4,1624,1622
1,6,0,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,55.255,614.449,164.76,1,0,0,228.667,8,2081.01,2030.87,1624,1620
1,7,0,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,64.546,526.258,145.632,1,1,0.0625,176.625,16,2073.56,2039.75,1624,1622
1,5,0,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,68.507,495.714,156.947,1,4,0.210526,254.211,15,2074.2,2057.34,1624,1621
1,2,0,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,71.656,473.928,134.419,1,1,0.0625,171.25,24,2062.92,2054.78,1624,1621
1,8,1,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,45.41,747.842,626.813,1,27,1.08,764.56,14,2040.58,2019.74,1624,1621
1,1,0,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,83.359,407.393,178.984,1,14,0.538462,172.231,24,2047.88,2031.74,1624,1621
1,3,1,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,39.978,849.65,391.407,1,8,0.5,154.75,24,2041.52,2043.07,1624,1622
1,7,1,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,19.863,1710.1,654.075,1,0,0,136.8,16,2064.27,2011.97,1624,1622
1,6,1,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,29.917,1134.85,751.935,1,18,1,374.444,8,2034.3,2005.79,1624,1620
1,8,2,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,13.527,2510.53,1013.68,1,1,0.0909091,128.909,14,2064.6,2024.16,1624,1621
1,5,1,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,22.716,1494.94,1466.41,1,40,1.66667,357.833,15,2020.85,2002.91,1624,1621
1,8,3,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,11.357,2990.22,1143.96,0,0,0,136,14,2038.12,2019.83,1624,1621
1,7,2,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,16.207,2095.84,817.406,0.545455,0,0,127.818,16,2043.87,2019.38,1624,1622
1,2,1,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,29.491,1151.52,1065.53,1,36,1.63636,263.091,24,2029.21,1997.42,1624,1621
1,1,1,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,18.339,1851.73,1053.89,1,13,0.866667,276.667,24,2044.57,1996.55,1624,1621
1,3,2,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,19.369,1753.67,811.989,1,5,0.3125,215.5,24,2055.52,2003.87,1624,1622
1,5,2,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,12.34,2752.01,1052.83,0.3,4,0.4,253.6,15,2028.48,1985,1624,1621
1,6,2,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,RSA-SHA3-224_signed-by_ECDSA-SHA3-224,20.414,1663.11,761.02,0.6,4,0.266667,162,8,2056.62,2047.5,1624,1620
