scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,RSA-SHA3-224_signed-by_RSA-SHA384,RSA-SHA3-224_signed-by_RSA-SHA384,28.67,1459.08,598.812,0.714286,14,0.666667,197.81,14,1162.84,1271.01,2116,2113
1,3,0,RSA-SHA3-224_signed-by_RSA-SHA384,RSA-SHA3-224_signed-by_RSA-SHA384,43.752,956.105,392.389,1,14,0.666667,188.286,24,1155.14,1159.94,2116,2113
1,2,0,RSA-SHA3-224_signed-by_RSA-SHA384,RSA-SHA3-224_signed-by_RSA-SHA384,54.775,763.706,175.847,1,1,0.0625,226.75,24,1160.67,1167.39,2116,2113
1,6,0,RSA-SHA3-224_signed-by_RSA-SHA384,RSA-SHA3-224_signed-by_RSA-SHA384,64.802,645.534,140.489,1,0,0,164.667,8,1158.44,1154.23,2116,2113
1,7,0,RSA-SHA3-224_signed-by_RSA-SHA384,RSA-SHA3-224_signed-by_RSA-SHA384,68.319,612.301,133.257,1,0,0,155.867,16,1159.4,1146.49,2116,2113
1,5,0,RSA-SHA3-224_signed-by_RSA-SHA384,RSA-SHA3-224_signed-by_RSA-SHA384,72.625,575.997,148.047,1,8,0.421053,212.526,15,1128.77,1162.24,2116,2113
1,8,1,RSA-SHA3-224_signed-by_RSA-SHA384,RSA-SHA3-224_signed-by_RSA-SHA384,48.264,866.722,491.292,1,20,0.952381,1052.29,14,1137.33,1109.41,2116,2113
1,6,1,RSA-SHA3-224_signed-by_RSA-SHA384,RSA-SHA3-224_signed-by_RSA-SHA384,14.396,2905.68,902.433,1,0,0,138.8,8,1098.27,1117.58,2116,2113
1,3,1,RSA-SHA3-224_signed-by_RSA-SHA384,RSA-SHA3-224_signed-by_RSA-SHA384,36.751,1138.24,638.235,1,20,1,1036.8,24,1120.62,1094.23,2116,2113
1,2,1,RSA-SHA3-224_signed-by_RSA-SHA384,RSA-SHA3-224_signed-by_RSA-SHA384,27.657,1512.47,469.738,1,0,0,918.8,24,1126.23,1104.57,2116,2113
