scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,28.588,1088.29,575.344,0.7,13,0.65,200.6,14,1283.6,1344.07,1446,1443
1,3,0,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,42.001,740.735,391.605,1,13,0.65,192.6,24,1246.55,1253.24,1446,1443
1,2,0,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,53.032,586.664,168.049,1,1,0.0666667,199.867,24,1262.6,1266,1446,1443
1,6,0,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,61.341,507.196,136.678,1,0,0,200,8,1268.5,1235.21,1446,1443
1,7,0,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,67.317,462.168,124.544,1,0,0,159.429,16,1264.22,1242.89,1446,1443
1,5,0,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,71.021,438.064,141.253,1,4,0.222222,213.333,15,1275.26,1257.09,1446,1443
1,8,1,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,44.544,698.445,482.392,1,20,1.11111,712.222,14,1238.39,1236.94,1446,1443
1,1,0,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,77.525,401.311,142.198,1,8,0.421053,182.632,24,1254.9,1242.86,1446,1443
1,3,1,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,37.346,833.06,570.225,1,15,0.882353,705.059,24,1231.37,1213.71,1446,1443
1,6,1,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,19.388,1604.7,717.142,1,5,0.416667,106,8,1234.37,1193.44,1446,1443
1,7,1,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,17.939,1734.3,698.356,1,0,0,122,16,1255.6,1247.23,1446,1443
1,2,1,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,32.904,945.517,523.207,1,8,0.571429,685.143,24,1209.52,1210.09,1446,1443
1,5,1,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,16.717,1861.06,1389.69,1,16,0.941176,245.529,15,1236.54,1213.73,1446,1443
1,8,2,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,18.663,1667,939.589,1,7,0.466667,148.933,14,1232.46,1209.5,1446,1443
1,1,1,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,14.812,2100.41,1061.82,1,11,0.6875,134,24,1212.54,1248.41,1446,1443
1,3,2,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,16.192,1921.4,773.699,1,0,0,114,24,1236.45,1207.56,1446,1443
1,6,2,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,15.903,1956.31,771.659,1,0,0,122.444,8,1228.82,1202.47,1446,1443
1,5,2,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,14.682,2119.01,853.27,1,0,0,220.8,15,1228.81,1217.52,1446,1443
1,7,2,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,18.714,1662.44,909.661,1,7,0.538462,122.923,16,1233.74,1199.64,1446,1443
1,8,3,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,12.835,2423.96,1546.37,0.8125,4,0.25,156.5,14,1245.27,1219.25,1446,1443
1,2,2,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,19.166,1623.23,1509.28,1,25,1.31579,243.053,24,1223.79,1209.62,1446,1443
1,1,2,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,14.898,2088.28,950.439,1,2,0.153846,449.077,24,1211.15,1207.89,1446,1443
1,3,3,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,13.098,2375.27,1061.51,1,5,0.416667,106,24,1227.63,1186.92,1446,1443
1,6,3,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,12.702,2449.34,966.132,1,0,0,122.444,8,1230.97,1205.91,1446,1443
1,7,3,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,11.945,2604.56,1185.41,1,5,0.384615,107.538,16,1239.71,1225.24,1446,1443
1,2,3,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,15.327,2029.81,817.354,1,0,0,161.2,24,1232.8,1221.56,1446,1443
1,8,4,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,16.706,1862.25,1097.53,1,9,0.692308,141.692,14,1222.04,1212.57,1446,1443
1,3,4,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,13.518,2301.47,907.807,1,0,0,122.444,24,1233.58,1201.82,1446,1443
1,5,3,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,23.106,1346.48,1002.67,1,17,1,245.529,15,1269.88,1198.59,1446,1443
1,6,4,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,18.673,1666.09,684.601,1,0,0,107.091,8,1223.06,1219.1,1446,1443
1,1,3,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,23.635,1316.35,1242.9,1,26,1.2381,223.524,24,1246.26,1212.13,1446,1443
1,7,4,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,16.702,1862.74,1106.44,1,9,0.692308,142,16,1229.81,1211.07,1446,1443
1,2,4,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,12.756,2438.83,1089.92,1,8,0.666667,148,24,1220.3,1299.73,1446,1443
1,8,5,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,19.567,1589.98,653.325,1,0,0,114.364,14,1227.06,1208.34,1446,1443
1,5,4,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,16.119,1930.11,1146.46,1,9,0.692308,266,15,1227.42,1204.77,1446,1443
1,3,5,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,20.092,1548.43,938.055,1,13,0.764706,100.118,24,1227.81,1187.48,1446,1443
1,6,5,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,17.987,1729.63,946.428,1,7,0.538462,114.923,8,1206.86,1204.23,1446,1443
1,7,5,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,14.86,2093.62,1507.37,1,21,1.05,145,16,1230.4,1192.99,1446,1443
1,2,5,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,19.345,1608.21,718.71,1,2,0.166667,356.667,24,1207.64,1430.1,1446,1443
1,8,6,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,12.055,2580.82,1017.99,1,0,0,128.667,14,1251.51,1218.93,1446,1443
1,1,4,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,23.184,1341.95,1461,1,36,1.5,246.333,24,1226.81,1198.28,1446,1443
1,3,6,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,13.817,2251.68,906.693,0.8,0,0,114,24,1218.06,1203.06,1446,1443
1,5,5,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,16.071,1935.85,763.588,1,0,0,241.111,15,1237.14,1201.15,1446,1443
1,6,6,RSA-SHA3-512_signed-by_ED25519,RSA-SHA3-512_signed-by_ED25519,12.514,2486.16,980.656,0.555556,3,0.333333,122.444,8,1225.56,1213.64,1446,1443
