scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,RSA-SHA3-512_signed-by_RSA-SHA3-224,RSA-SHA3-512_signed-by_RSA-SHA3-224,28.663,1459.44,598.958,0.714286,14,0.666667,197.81,14,1174.05,1249.7,2116,2113
1,3,0,RSA-SHA3-512_signed-by_RSA-SHA3-224,RSA-SHA3-512_signed-by_RSA-SHA3-224,43.767,955.777,392.254,1,14,0.666667,188.286,24,1158.13,1156.95,2116,2113
1,2,0,RSA-SHA3-512_signed-by_RSA-SHA3-224,RSA-SHA3-512_signed-by_RSA-SHA3-224,54.821,763.065,175.699,1,1,0.0625,226.75,24,1161.47,1168.66,2116,2113
1,6,0,RSA-SHA3-512_signed-by_RSA-SHA3-224,RSA-SHA3-512_signed-by_RSA-SHA3-224,64.804,645.514,140.485,1,0,0,164.667,8,1162.34,1146.56,2116,2113
1,7,0,RSA-SHA3-512_signed-by_RSA-SHA3-224,RSA-SHA3-512_signed-by_RSA-SHA3-224,68.35,612.024,133.196,1,0,0,155.867,16,1162.01,1176.8,2116,2113
1,5,0,RSA-SHA3-512_signed-by_RSA-SHA3-224,RSA-SHA3-512_signed-by_RSA-SHA3-224,72.605,576.156,148.088,1,8,0.421053,212.526,15,1136.63,1166.54,2116,2113
1,8,1,RSA-SHA3-512_signed-by_RSA-SHA3-224,RSA-SHA3-512_signed-by_RSA-SHA3-224,48.292,866.22,491.007,1,20,0.952381,1052.29,14,1184.27,1127.76,2116,2113
1,6,1,RSA-SHA3-512_signed-by_RSA-SHA3-224,RSA-SHA3-512_signed-by_RSA-SHA3-224,14.034,2980.63,925.71,1,0,0,138.8,8,1157.58,1096.78,2116,2113
1,3,1,RSA-SHA3-512_signed-by_RSA-SHA3-224,RSA-SHA3-512_signed-by_RSA-SHA3-224,36.741,1138.55,638.409,1,20,1,1036.8,24,1133.68,1097.94,2116,2113
1,2,1,RSA-SHA3-512_signed-by_RSA-SHA3-224,RSA-SHA3-512_signed-by_RSA-SHA3-224,27.17,1539.58,478.157,1,0,0,918.8,24,1132.06,1099.12,2116,2113
1,5,1,RSA-SHA3-512_signed-by_RSA-SHA3-224,RSA-SHA3-512_signed-by_RSA-SHA3-224,18.903,2212.93,1073.24,0.947368,11,0.578947,347.263,15,1101.65,1112.23,2116,2113
1,7,1,RSA-SHA3-512_signed-by_RSA-SHA3-224,RSA-SHA3-512_signed-by_RSA-SHA3-224,24.196,1728.84,1039.49,1,22,1.29412,240.588,16,1105.36,1101.9,2116,2113
