scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,29.444,1153.37,583.071,0.714286,14,0.666667,197.81,14,2071.62,2140.98,1624,1621
1,3,0,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,43.521,780.488,394.472,1,14,0.666667,188.286,24,2072.49,2030.29,1624,1622
1,6,0,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,55.373,613.285,164.409,1,0,0,228.667,8,2075.07,2023.29,1624,1621
1,7,0,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,64.519,526.479,145.693,1,1,0.0625,176.625,16,2047.75,2042.22,1624,1622
1,5,0,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,68.498,495.895,156.967,1,4,0.210526,254.211,15,2064.99,2048.56,1624,1622
1,2,0,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,71.635,474.067,134.459,1,1,0.0625,171.25,24,2067.97,2033.73,1624,1621
1,8,1,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,45.509,746.215,625.45,1,27,1.08,764.56,14,2043.62,2031.46,1624,1621
1,1,0,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,83.364,407.369,178.974,1,14,0.538462,172.231,24,2031.3,2020.79,1624,1621
1,3,1,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,40.024,848.674,395.755,1,8,0.470588,147.882,24,2030.79,2065.45,1624,1622
1,7,1,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,19.946,1702.98,651.353,1,0,0,136.8,16,2036.04,2011.38,1624,1622
1,6,1,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,29.825,1138.62,754.254,1,18,1,374.444,8,2043.35,2008.5,1624,1621
1,8,2,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,13.506,2514.44,1015.25,1,1,0.0909091,128.909,14,2048.95,2019.09,1624,1621
1,5,1,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,22.709,1495.75,1466.86,1,40,1.66667,359.167,15,2108.9,1994.15,1624,1622
1,8,3,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,12.313,2758.03,1055.13,0.8,0,0,136,14,2023.42,2022.74,1624,1621
1,7,2,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,16.824,2018.96,927.219,0.933333,7,0.466667,112.667,16,2037.48,2003.49,1624,1622
1,2,1,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,30.608,1109.49,1026.64,1,36,1.63636,263.091,24,2029.32,1998.74,1624,1621
1,1,1,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,20.74,1637.34,1173.33,1,20,1,230.2,24,2042.88,2011.17,1624,1621
1,5,2,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,13.452,2525.08,1550.97,1,7,0.466667,223.867,15,2018.24,2009.61,1624,1622
1,3,2,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,22.988,1477.64,703.669,1,11,0.611111,195.778,24,2068.05,1989.6,1624,1622
1,6,2,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,22.825,1487.84,680.655,1,4,0.266667,162,8,2043.39,2011.31,1624,1621
1,7,3,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,12.072,2813.74,1097.4,1,0,0,127.818,16,2054.83,2008.24,1624,1622
1,3,3,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,11.421,2974.13,1343.47,1,3,0.214286,240.857,24,2040.23,2024.38,1624,1622
1,8,4,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,18.105,1875.65,990.626,1,8,0.533333,120.933,14,2026.28,1992.13,1624,1621
1,2,2,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,17.316,1961.11,1119.84,1,12,0.8,192.667,24,2053.36,2007.29,1624,1621
1,5,3,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,19.247,1764.77,1017.46,1,19,1.1875,255.25,15,2045.06,1994.76,1624,1622
1,1,2,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,21.346,1590.93,1403.92,1,28,1,136.429,24,2038.48,1994.02,1624,1621
1,7,4,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,17.653,1924.2,1005.15,1,7,0.5,127.429,16,2028.69,2012.39,1624,1622
1,6,3,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,24.209,1402.74,740.859,1,8,0.533333,113.2,8,2072.12,1993.54,1624,1621
1,3,4,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,15.726,2159.88,1128.27,1,7,0.5,118.571,24,2010.38,2002.03,1624,1622
1,8,5,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,15.949,2129.17,830.601,1,0,0,126,14,2027.32,2003.83,1624,1621
1,2,3,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,17.661,1922.78,750.086,1,0,0,169.636,24,2003.94,1990.03,1624,1621
1,5,4,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,13.878,2447.51,1091.75,0.769231,0,0,389.692,15,2088.86,1998.76,1624,1622
1,1,3,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,15.161,2239.84,873.777,0.909091,0,0,127.091,24,2238.57,2011.59,1624,1621
1,7,5,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,12.942,2624.61,1003.86,1,0,0,130.4,16,2038.37,2019.68,1624,1622
1,6,4,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,14.88,2282.2,1273.09,1,11,0.846154,146.923,8,2043.84,2006.39,1624,1621
1,3,5,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,17.849,1903.01,1090,1,11,0.733333,132.4,24,2053.34,2001.62,1624,1622
1,8,6,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,17.458,1945.19,744.167,1,0,0,136,14,2022.2,1995.37,1624,1621
1,5,5,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,15.307,2219.07,865.47,1,0,0,234.727,15,2009,2003.11,1624,1622
1,2,4,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,17.193,1975.18,755.638,1,0,0,182.8,24,2066.35,1991.76,1624,1621
1,1,4,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,16.979,2000.07,1115.71,1,11,0.846154,158.308,24,2037.63,2001.14,1624,1621
1,7,6,RSA-SHA384_signed-by_ECDSA-SHA3-512,RSA-SHA384_signed-by_ECDSA-SHA3-512,15.621,2174.47,1224.99,0.642857,12,0.857143,150.857,16,2041.09,1998.37,1624,1622
