scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,29.452,1150.34,582.913,0.714286,14,0.666667,197.81,14,2077.53,2148.2,1619,1616
1,3,0,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,43.509,778.864,394.58,1,14,0.666667,188.286,24,2085.14,2028.7,1619,1617
1,6,0,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,55.274,612.791,164.704,1,0,0,228.667,8,2083.21,2051.38,1619,1615
1,7,0,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,64.509,525.072,145.716,1,1,0.0625,176.625,16,2065.4,2028.54,1619,1615
1,5,0,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,68.521,494.561,156.915,1,4,0.210526,254.211,15,2116.5,2055.84,1619,1617
1,2,0,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,72.041,470.285,139.031,1,9,0.5,156.444,24,2066.94,2058.79,1619,1616
1,8,1,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,45.257,748.604,628.933,1,27,1.08,762.96,14,2084.38,2008.69,1619,1616
1,1,0,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,80.51,420.912,152.426,1,6,0.285714,176.476,24,2069.17,2038.12,1619,1617
1,3,1,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,38.281,885.231,400.82,1,3,0.214286,171.714,24,2034.25,2004.78,1619,1617
1,6,1,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,27.027,1253.26,480.703,1,0,0,592.4,8,2032.17,2003.66,1619,1615
1,7,1,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,20.623,1642.43,629.973,1,0,0,136,16,2034.87,2020.44,1619,1615
1,5,1,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,18.929,1790.24,1315.21,1,22,1.375,418,15,2048.3,1985.39,1619,1617
1,8,2,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,13.617,2487.89,954.032,0.8,0,0,136,14,2047.94,2016.72,1619,1616
1,2,1,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,17.442,1942.41,1141.14,0.470588,7,0.411765,240.353,24,2035.31,2000.43,1619,1616
1,1,1,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,12.604,2688.66,1503.01,0.615385,11,0.846154,158.308,24,2107.39,2022.64,1619,1617
1,6,2,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,12.809,2644.37,1014.28,0,0,0,126.8,8,2044.3,2017.99,1619,1615
1,3,2,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,14.166,2392.17,917.112,0,0,0,126.8,24,2055.7,2003.4,1619,1617
1,5,2,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,9.681,3500.19,1341.91,0.5,0,0,253.6,15,2028.57,2018.24,1619,1617
1,7,2,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,13.262,2554.04,979.632,0.5,0,0,136,16,2030.43,2012,1619,1615
1,8,3,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,13.557,2499.04,1131.8,1,7,0.5,117.429,14,2041.14,2018.56,1619,1616
1,2,2,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,15.514,2183.77,853.913,1,4,0.363636,169.636,24,2026.86,2050.53,1619,1616
1,1,2,RSA-SHA384_signed-by_ECDSA-SHA512,RSA-SHA384_signed-by_ECDSA-SHA512,14.015,2417.91,945.246,1,0,0,127.091,24,2040.09,2051.31,1619,1617
