scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,28.639,1460.66,599.46,0.714286,14,0.666667,197.81,14,1169.83,1228.62,2116,2113
1,3,0,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,43.747,956.214,392.434,1,14,0.666667,188.286,24,1146.22,1143,2116,2113
1,2,0,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,54.762,763.887,175.888,1,1,0.0625,226.75,24,1160.12,1158.85,2116,2113
1,6,0,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,64.803,645.524,140.487,1,0,0,164.667,8,1205.85,1154.16,2116,2113
1,7,0,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,68.322,612.275,133.251,1,0,0,155.867,16,1153.71,1150.09,2116,2113
1,5,0,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,72.594,576.243,148.111,1,8,0.421053,212.526,15,1134.69,1156.48,2116,2113
1,8,1,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,48.297,866.13,490.956,1,20,0.952381,1052.29,14,1127.1,1108.22,2116,2113
1,6,1,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,14.038,2979.78,925.446,1,0,0,138.8,8,1139.87,1091.37,2116,2113
1,3,1,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,36.797,1136.82,637.438,1,20,1,1036.8,24,1130.33,1105.73,2116,2113
1,2,1,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,27.214,1537.09,477.384,1,0,0,918.8,24,1141.45,1090.71,2116,2113
1,5,1,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,18.905,2212.7,1073.13,0.947368,11,0.578947,347.263,15,1100.74,1103.63,2116,2113
1,7,1,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,24.22,1727.13,1038.46,1,22,1.29412,240.588,16,1111.84,1095.93,2116,2113
1,6,2,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,14.283,2928.78,758.379,1,0,0,164.857,8,1129.57,1094.51,2116,2113
1,3,2,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,14.757,2834.68,880.384,1,4,0.4,138.8,24,1107.13,1110.08,2116,2113
1,1,0,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,99.947,418.541,170.33,1,13,0.5,239.231,24,1162.32,1161.05,2116,2113
1,8,2,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,23.51,1779.28,965.011,0.947368,15,0.789474,125.789,14,1129.77,1102.1,2116,2113
1,2,2,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,25.987,1609.68,682.785,1,7,0.5,183.714,24,1125.28,1098.82,2116,2113
1,5,2,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,23.68,1766.51,789.845,1,14,0.777778,206,15,1137.61,1105.74,2116,2113
1,6,3,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,22.41,1866.62,687.534,1,0,0,192.286,8,1128.49,1092.27,2116,2113
1,3,3,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,21.12,1980.64,726.501,1,3,0.214286,192.286,24,1173.87,1118.4,2116,2113
1,7,2,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,24.838,1684.15,523.055,1,4,0.4,149.6,16,1168.16,1114.42,2116,2113
1,8,3,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,17.557,2382.6,1010.63,1,11,0.785714,136.571,14,1117.06,1103.53,2116,2113
1,2,3,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,20.367,2053.85,1252.97,1,22,1.15789,295.053,24,1127.56,1114.51,2116,2113
1,6,4,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,13.543,3088.63,959.255,1,0,0,138.8,8,1107.23,1109.26,2116,2113
1,5,3,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,15.566,2687.39,1518.18,1,17,0.809524,714.952,15,1127.43,1118.78,2116,2113
1,3,4,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,16.684,2507.29,1063.52,1,7,0.5,127.143,24,1132.25,1108.91,2116,2113
1,1,1,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,37.737,1108.49,611.378,1,17,0.809524,668.857,24,1127.19,1106.57,2116,2113
1,8,4,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,22.548,1855.2,974.963,0.636364,13,0.590909,161.818,14,1134.58,1136.71,2116,2113
1,2,4,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,14.293,2926.74,908.974,0.3,0,0,203.6,24,1125.85,1115.93,2116,2113
1,6,5,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,15.795,2648.41,1123.38,0.571429,7,0.5,127.143,8,1130.08,1105.4,2116,2113
1,5,4,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,18.477,2263.97,703.133,1,0,0,284,15,1121.2,1107.75,2116,2113
1,3,5,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,17.461,2395.71,744.048,1,0,0,138.8,24,1141.39,1087.06,2116,2113
1,7,3,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,33.987,1230.81,468.41,1,12,0.705882,323.647,16,1145.09,1106.41,2116,2113
1,1,2,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,18.268,2289.87,739.204,1,0,0,131,24,1128.37,1103.79,2116,2113
1,8,5,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,16.152,2589.87,949.967,1,7,0.5,127.143,14,1128.1,1099.59,2116,2113
1,2,5,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,17.144,2439.99,1104.97,1,11,0.846154,248.462,24,1137.15,1106.26,2116,2113
1,6,6,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,15.9,2630.9,1191.43,1,11,0.846154,165.385,8,1141.07,1102.82,2116,2113
1,3,6,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,11.284,3706.91,1151.27,0.3,0,0,138.8,24,1133.51,1104.23,2116,2113
1,7,4,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,12.726,3286.88,1190.54,0.692308,0,0,222.308,16,1149.26,1298.44,2116,2113
1,5,5,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,15.81,2645.89,1198.22,1,11,0.846154,350.923,15,1122.96,1162.6,2116,2113
1,1,3,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,13.858,3018.6,937.503,0.6,0,0,149.6,24,1107.31,1103.42,2116,2113
1,8,6,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,13.761,3039.88,944.112,0.6,0,0,142.4,14,1127.13,1090.03,2116,2113
1,2,6,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,12.72,3288.44,1030.12,0.545455,0,0,204.545,24,1128.81,1111.35,2116,2113
1,7,5,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,11.97,3494.47,1101.34,0.363636,5,0.454545,138.364,16,1131.66,1120.95,2116,2113
1,6,7,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,15.862,2637.22,1342.57,0.588235,18,1.05882,142.471,8,1106.39,1099.77,2116,2113
1,3,7,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,17.338,2412.7,1103.69,0.714286,12,0.857143,156.286,24,1134.77,1111.49,2116,2113
1,5,6,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,14.742,2837.59,881.285,0.4,0,0,284,15,1119.56,1105.59,2116,2113
1,8,7,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,16.643,2513.46,796.003,1,0,0,138.364,14,1127.4,1110.58,2116,2113
1,1,4,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,17.903,2336.56,739.978,1,0,0,139.455,24,1115.34,1107.24,2116,2113
1,2,7,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,17.63,2372.74,894.824,1,8,0.666667,192,24,1130.92,1146.53,2116,2113
1,6,8,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,15.538,2692.2,836.133,1,0,0,138.8,8,1097.98,1118.19,2116,2113
1,5,7,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,13.755,3041.21,1377.24,0.923077,11,0.846154,434,15,1129.9,1084.83,2116,2113
1,3,8,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,15.625,2677.22,831.479,1,0,0,138.8,24,1130.26,1213.38,2116,2113
1,7,6,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,19.256,2172.37,1043.6,0.666667,10,0.555556,322.444,16,1123.84,1093.49,2116,2113
1,8,8,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,13.61,3073.58,968.687,1,7,0.636364,129.636,14,1126.17,1115.74,2116,2113
1,2,8,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,12.398,3374.06,1222.12,1,0,0,311.538,24,1140.36,1111.68,2116,2113
1,6,9,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,10.89,3841,1192.92,1,0,0,138.8,8,1153.42,1104.28,2116,2113
1,5,8,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,15.382,2719.49,877.893,1,0,0,243,15,1098.82,1101.44,2116,2113
1,1,5,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,22.521,1857.39,787.856,1,7,0.5,136.571,24,1135.65,1087.65,2116,2113
1,3,9,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,16.685,2507.1,1420.16,1,18,1.05882,160.824,24,1133.96,1096.54,2116,2113
1,7,7,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,17.453,2396.76,1027.64,1,8,0.533333,130,16,1127.15,1099.41,2116,2113
1,8,9,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,14.197,2946.5,1067.25,1,4,0.307692,204.154,14,1128.21,1106.64,2116,2113
1,2,9,RSA-SHA384_signed-by_RSA-SHA256,RSA-SHA384_signed-by_RSA-SHA256,14.216,2942.56,921.767,1,0,0,188.182,24,1124.23,1095.82,2116,2113
