scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,RSA-SHA512_signed-by_ED25519,RSA-SHA512_signed-by_ED25519,28.621,1087.03,574.681,0.7,13,0.65,200.6,14,1286.26,1345.41,1446,1443
1,3,0,RSA-SHA512_signed-by_ED25519,RSA-SHA512_signed-by_ED25519,41.984,741.035,391.763,1,13,0.65,192.6,24,1265.24,1241.25,1446,1443
1,2,0,RSA-SHA512_signed-by_ED25519,RSA-SHA512_signed-by_ED25519,53.033,586.653,168.046,1,1,0.0666667,199.867,24,1265.41,1263.42,1446,1443
1,6,0,RSA-SHA512_signed-by_ED25519,RSA-SHA512_signed-by_ED25519,61.339,507.213,136.683,1,0,0,200,8,1278.04,1237.1,1446,1443
1,7,0,RSA-SHA512_signed-by_ED25519,RSA-SHA512_signed-by_ED25519,67.328,462.093,124.524,1,0,0,159.429,16,1268.71,1253.45,1446,1443
1,5,0,RSA-SHA512_signed-by_ED25519,RSA-SHA512_signed-by_ED25519,71.038,437.959,141.219,1,4,0.222222,213.333,15,1272.85,1280.04,1446,1443
1,8,1,RSA-SHA512_signed-by_ED25519,RSA-SHA512_signed-by_ED25519,44.492,699.261,482.956,1,20,1.11111,712.222,14,1222.1,1212.31,1446,1443
1,1,0,RSA-SHA512_signed-by_ED25519,RSA-SHA512_signed-by_ED25519,77.518,401.347,142.21,1,8,0.421053,182.632,24,1285.98,1236.57,1446,1443
1,3,1,RSA-SHA512_signed-by_ED25519,RSA-SHA512_signed-by_ED25519,37.36,832.748,570.012,1,15,0.882353,705.059,24,1235.69,1203.52,1446,1443
1,6,1,RSA-SHA512_signed-by_ED25519,RSA-SHA512_signed-by_ED25519,19.393,1604.28,716.957,1,5,0.416667,106,8,1237.9,1195.46,1446,1443
