scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,RSA-SHA512_signed-by_RSA-SHA3-224,RSA-SHA512_signed-by_RSA-SHA3-224,28.634,1460.92,599.565,0.714286,14,0.666667,197.81,14,1163.2,1233.48,2116,2113
1,3,0,RSA-SHA512_signed-by_RSA-SHA3-224,RSA-SHA512_signed-by_RSA-SHA3-224,43.751,956.127,392.398,1,14,0.666667,188.286,24,1152.3,1158.57,2116,2113
1,2,0,RSA-SHA512_signed-by_RSA-SHA3-224,RSA-SHA512_signed-by_RSA-SHA3-224,54.794,763.441,175.786,1,1,0.0625,226.75,24,1158.67,1188.63,2116,2113
1,6,0,RSA-SHA512_signed-by_RSA-SHA3-224,RSA-SHA512_signed-by_RSA-SHA3-224,64.793,645.624,140.509,1,0,0,164.667,8,1160.27,1143.97,2116,2113
1,7,0,RSA-SHA512_signed-by_RSA-SHA3-224,RSA-SHA512_signed-by_RSA-SHA3-224,68.328,612.221,133.239,1,0,0,155.867,16,1157.43,1156.27,2116,2113
1,5,0,RSA-SHA512_signed-by_RSA-SHA3-224,RSA-SHA512_signed-by_RSA-SHA3-224,72.608,576.132,148.082,1,8,0.421053,212.526,15,1133.68,1152.78,2116,2113
1,8,1,RSA-SHA512_signed-by_RSA-SHA3-224,RSA-SHA512_signed-by_RSA-SHA3-224,48.302,866.041,490.905,1,20,0.952381,1052.29,14,1133,1111.79,2116,2113
1,6,1,RSA-SHA512_signed-by_RSA-SHA3-224,RSA-SHA512_signed-by_RSA-SHA3-224,14.063,2974.48,923.801,1,0,0,138.8,8,1142.35,1098.84,2116,2113
1,3,1,RSA-SHA512_signed-by_RSA-SHA3-224,RSA-SHA512_signed-by_RSA-SHA3-224,36.79,1137.04,637.559,1,20,1,1036.8,24,1126.88,1106.12,2116,2113
1,2,1,RSA-SHA512_signed-by_RSA-SHA3-224,RSA-SHA512_signed-by_RSA-SHA3-224,27.183,1538.85,477.929,1,0,0,918.8,24,1147.14,1087.73,2116,2113
1,5,1,RSA-SHA512_signed-by_RSA-SHA3-224,RSA-SHA512_signed-by_RSA-SHA3-224,18.9,2213.28,1073.41,0.947368,11,0.578947,347.263,15,1111.97,1113.74,2116,2113
1,7,1,RSA-SHA512_signed-by_RSA-SHA3-224,RSA-SHA512_signed-by_RSA-SHA3-224,24.227,1726.63,1038.16,1,22,1.29412,240.588,16,1102.24,1102.38,2116,2113
