scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,83.546,3231.25,414.427,0.770833,32,0.666667,224,14,1550.05,1318.51,16374,16371
2,6,0,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,99.768,2705.87,190.201,1,0,0,520.133,8,1729.52,1931.82,16374,16371
2,3,0,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,101.245,2666.4,346.407,0.98,37,0.74,193.12,24,1890.59,1182.38,16374,16371
2,5,0,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,106.827,2527.07,223.613,1,14,0.35,206.7,15,1697.67,1580.88,16374,16371
2,7,0,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,112.577,2397.99,175.381,1,0,0,134.97,16,1383.07,1557.64,16374,16371
2,2,0,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,114.867,2350.18,169.795,1,1,0.0322581,173.613,24,1543.36,2269.09,16374,16371
2,1,0,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,119.743,2254.49,239.647,1,26,0.553191,337.362,24,1254.96,1119.15,16374,16371
2,8,1,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,71.955,3751.79,429.713,1,0,0,383.778,14,2159.45,1774.29,16374,16371
2,3,1,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,83.761,3222.97,386.336,1,0,0,386.966,24,1226.15,1319.66,16374,16371
2,7,1,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,76.032,3550.56,410.033,1,0,0,371.429,16,1668.53,1674.82,16374,16371
2,2,1,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,76.762,3516.84,384.044,1,0,0,593.68,24,1258.79,1001.6,16374,16371
2,6,1,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,92.433,2920.58,512.281,1,69,1.64286,384.286,8,1974.07,1154.07,16374,16371
2,5,1,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,89.093,3030.07,526.548,1,58,1.48718,967.333,15,1063.54,1043.62,16374,16371
2,1,1,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,87.558,3083.2,503.071,1,35,1,1674.46,24,1093.54,1078.17,16374,16371
2,8,2,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,66.712,4046.64,574.289,1,21,0.552632,319.474,14,1218.8,1205.32,16374,16371
2,3,2,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,74.561,3620.65,418.126,1,0,0,339.143,24,1058.93,1808.1,16374,16371
2,2,2,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,75.069,3596.15,551.492,1,45,1.36364,792.182,24,1391.75,1356.14,16374,16371
2,7,2,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,79.266,3405.73,593.644,1,58,1.48718,434.923,16,1987.36,984.086,16374,16371
2,6,2,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,76.563,3525.98,517.847,1,15,0.394737,327.263,8,2050.06,1639.22,16374,16371
2,5,2,ML-DSA-44_signed-by_ML-DSA-87,ML-DSA-44_signed-by_ML-DSA-87,76.859,3512.4,402.294,1,0,0,810.741,15,1516.04,1166.43,16374,16371
