scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,154.979,10819.3,609.319,0.864662,32,0.240602,357.82,14,5887.62,6088.41,104300,104297
2,6,0,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,174.963,9583.6,576.305,0.782313,65,0.442177,423.306,8,7336.09,5260.56,104300,104297
2,3,0,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,190.976,8780.03,497.151,0.851852,32,0.237037,319.57,24,5849.69,5468.52,104300,104297
2,7,0,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,214.909,7802.24,367.782,1,0,0,355.103,16,5901.69,6686.04,104300,104297
2,5,0,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,222.43,7538.42,420.733,1,72,0.521739,695.536,15,7304.98,5538.15,104300,104297
2,2,0,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,235.536,7118.95,401.669,1,103,0.735714,489.457,24,6094.1,5693.33,104300,104297
2,1,0,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,263.398,6365.93,336.98,1,26,0.195489,1265.05,24,5997.62,6503.77,104300,104297
2,3,1,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,332.71,5039.74,428.673,1,120,0.9375,1510.12,24,5432.31,5897,104300,104297
2,8,1,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,389.277,4307.41,321.108,1,87,0.696,2519.09,15,6485.8,5043.23,104300,104297
2,7,1,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,348.114,4816.73,409.198,1,96,0.578313,1317.61,16,5745.29,5227.65,104300,104297
2,6,1,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,421.375,3979.29,222.433,1,129,1.41758,1686.88,9,6096.56,5523.56,104300,104297
2,5,1,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,418.903,4002.78,358.651,1,31,0.202614,2734.44,15,6779.97,5081.15,104300,104297
2,2,1,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,435.384,3851.26,443.893,1,173,0.762115,1389.68,24,5826.47,5238.03,104300,104297
2,1,1,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,447.823,3744.28,371.647,1,85,0.685484,2548.52,24,5845.86,5375.59,104300,104297
2,8,2,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,ML-DSA-44_signed-by_SLH-DSA-SHA2-256f,273.569,6129.25,341.266,1,0,0,1648.56,16,6737.19,5548.88,104300,104297
