scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,6,0,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,138.252,8841.62,477.503,0.744898,17,0.173469,368.122,8,6507.96,6315.66,75900,75897
2,8,0,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,145.412,8406.26,520.67,0.850467,32,0.299065,325.626,14,7090.64,5995.05,75900,75897
2,5,0,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,177.744,6877.17,419.75,0.81982,41,0.369369,547.009,15,6249.02,7274,75900,75897
2,3,0,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,180.794,6761.15,404.261,0.875,32,0.307692,299.654,24,5826.93,6883.52,75900,75897
2,2,0,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,192.08,6363.88,383.922,0.834862,38,0.348624,393.413,24,5964.76,5950.9,75900,75897
2,7,0,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,199.857,6116.24,302.776,1,6,0.0659341,312.989,16,6024.25,6136.17,75900,75897
2,6,1,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,158.116,7730.87,531.862,1,0,0,698.494,8,6711.76,6133.02,75900,75897
2,5,1,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,158.917,7691.91,589.892,1,0,0,1748.79,15,6190.3,7557.54,75900,75897
2,8,1,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,192.235,6358.74,496.891,1,99,1,1820.71,15,6421.68,10429.9,75900,75897
2,1,0,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,ML-DSA-44_signed-by_SLH-DSA-SHAKE-192f,357.657,3417.73,269.017,1,102,0.703448,1331.72,24,6286.5,8395.77,75900,75897
