scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,86.11,4142.67,443.894,0.792453,32,0.603774,217.925,14,2127.1,2928.54,21797,21794
2,6,0,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,101.179,3525.71,223.129,1,0,0,467.257,8,2193.53,2647.31,21797,21794
2,3,0,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,103.428,3449.04,373.902,0.981818,40,0.727273,189.2,24,6424.68,2355.31,21797,21794
2,5,0,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,112.996,3156.98,306.983,1,34,0.618182,258.945,15,3430.52,3305.62,21797,21794
2,2,0,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,120.661,2956.43,191.478,1,1,0.0277778,180.333,24,2565.83,2124.29,21797,21794
2,7,0,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,121.39,2938.68,192.305,1,0,0,138.211,16,2856.32,3918.39,21797,21794
2,1,0,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,134.487,2652.49,238.237,1,26,0.509804,366.667,24,2098.5,3257.75,21797,21794
2,8,1,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,87.802,4062.86,502.585,1,21,0.477273,413.818,14,2072.82,2537.16,21797,21794
2,6,1,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,94.96,3756.61,386.857,1,8,0.242424,453.758,8,2352.91,2978.36,21797,21794
2,3,1,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,93.285,3824.03,447.141,1,22,0.55,539.2,24,5240.99,2073.77,21797,21794
2,5,1,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,90.323,3949.43,348.08,1,0,0,1338.8,15,2101.3,2549.32,21797,21794
2,2,1,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,89.18,4000.05,409.056,1,8,0.25,748.875,24,3603.52,2091.16,21797,21794
2,7,1,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,ML-DSA-65_signed-by_SLH-DSA-SHAKE-128s,121.726,2930.57,436.65,1,49,0.942308,426.385,16,3456.09,3727.09,21797,21794
