scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,87.099,4455.13,455.387,0.763636,32,0.581818,219.455,14,2707.94,3077.55,23754,23751
2,6,0,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,102.099,3800.62,235.222,1,0,0,454.649,8,2990.48,2715.2,23754,23751
2,3,0,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,108.847,3565,428.05,0.848485,51,0.772727,185.212,24,5505.63,2628.39,23754,23751
2,5,0,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,112.8,3440.06,286.666,1,33,0.647059,256.275,15,3656.76,2676.2,23754,23751
2,7,0,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,127.71,3038.43,194.064,1,0,0,144.3,16,3082.82,3312.84,23754,23751
2,2,0,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,130.731,2968.22,187.743,1,1,0.0263158,189.895,24,3038.27,2996.32,23754,23751
2,1,0,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,140.358,2764.64,240.357,1,26,0.481481,383.963,24,2285.74,2390.13,23754,23751
2,8,1,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,126.241,3073.78,417.484,1,52,0.928571,402.643,14,2697.26,2656.82,23754,23751
2,3,1,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,111.142,3491.37,282.88,1,0,0,631.28,24,2650.45,2293.77,23754,23751
2,6,1,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,119.684,3242.19,342.5,1,45,1.45161,673.613,8,4532.58,2611.44,23754,23751
2,5,1,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,ML-DSA-87_signed-by_SLH-DSA-SHA2-128s,118.721,3268.49,375.602,1,19,0.431818,1963.09,15,2766.51,2635.88,23754,23751
