scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,181.788,4480.16,278.302,0.914286,10,0.142857,215.086,14,55824.7,55043.2,50404,50401
2,3,0,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,204.514,3982.31,290.561,0.771084,35,0.421687,195.301,24,54828.7,54715.1,50404,50401
2,6,0,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,250.804,3247.31,169.566,1,0,0,237.375,8,54760.9,54953.8,50404,50401
2,5,0,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,264.101,3083.81,236.273,0.703297,49,0.538462,500.242,15,54950.9,54811.9,50404,50401
2,7,0,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,267.387,3045.91,200.877,0.790123,32,0.395062,191.383,16,55107.6,55027.3,50404,50401
2,1,0,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,270.759,3007.98,182.893,0.842105,18,0.236842,225.421,24,54911.8,54829.9,50404,50401
2,2,0,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,273.005,2983.23,158.649,0.969697,1,0.0151515,310.97,24,55233.5,55086.2,50404,50401
2,8,1,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,167.716,4856.04,370.911,1,0,0,386.615,15,55010.8,54650.7,50404,50401
2,3,1,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,186.102,4376.31,332.893,1,0,0,394.875,24,55201.4,54940.6,50404,50401
2,6,1,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,199.738,4077.54,310.166,1,0,0,392.25,9,55171.7,54692.7,50404,50401
2,5,1,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,202.076,4030.36,357.41,1,0,0,1083.61,15,54867.2,54644.6,50404,50401
2,1,1,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,200.328,4065.53,333.932,1,51,0.784615,461.138,24,55008.8,54719.4,50404,50401
2,7,1,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,214.594,3795.25,346.104,1,107,1.48611,507.778,16,54898.7,54681.7,50404,50401
2,8,2,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,172.356,4725.31,359.44,1,0,0,392.438,15,54719.9,54659.5,50404,50401
2,2,1,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,275.435,2956.92,250.948,1,28,0.383562,538.384,24,55305.8,54842.4,50404,50401
2,3,2,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,173.386,4697.24,357.305,1,0,0,394.875,24,54973.8,54644.3,50404,50401
2,6,2,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,209.988,3878.5,403.146,1,63,0.649485,342.907,9,54818.8,54771.9,50404,50401
2,5,2,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,208.258,3910.72,372.691,1,12,0.171429,758.743,15,55197.8,55083.3,50404,50401
2,1,2,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,216.847,3755.81,288.055,1,0,0,420.848,24,54825.7,54921.1,50404,50401
2,7,2,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,238.51,3414.69,355.272,1,208,2.73684,537.316,16,54976.6,54721.9,50404,50401
2,8,3,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,SLH-DSA-SHA2-128f_signed-by_SLH-DSA-SHA2-192s,205.388,3965.36,340.116,1,21,0.272727,352.286,16,55198.2,54813,50404,50401
