scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,297.709,5824.44,302.254,1,10,0.0793651,338.667,15,92244.1,92070.6,107876,107873
2,1,0,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,413.862,4189.78,268.457,1,82,0.503067,339.202,24,92491.1,92039.2,107876,107873
2,5,0,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,431.442,4019.06,285.999,1,109,0.615819,1075.15,15,92330,92271.1,107876,107873
2,6,0,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,437.718,3961.43,225.862,1,47,0.324138,317.834,9,92134.5,92127.6,107876,107873
2,7,0,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,438.263,3956.51,188.088,1,0,0,358.197,16,92091.7,92600.6,107876,107873
2,3,0,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,447.594,3874.02,234.641,1,52,0.348993,266.43,24,92160.3,92847.8,107876,107873
2,2,0,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,451.421,3841.18,311.088,1,163,0.802956,802.414,24,92692.2,92203.2,107876,107873
2,8,1,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,280.189,6188.63,402.013,0.661417,0,0,357.433,15,92246.7,91937.1,107876,107873
2,2,1,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,439.238,3947.72,284.383,1,93,0.72093,1214.59,24,93858.1,92408.1,107876,107873
2,3,1,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-192f_signed-by_SLH-DSA-SHAKE-192f,449.452,3858.01,398.743,1,193,0.960199,651.692,24,92571,92073.1,107876,107873
