scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,5634.44,333.193,17.0381,0.82963,10,0.0740741,374.8,20,1.86662e+06,1.86856e+06,116836,116833
2,6,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,5715.52,328.465,15.3407,0.875,0,0,325.5,11,1.86501e+06,1.86762e+06,116836,116833
2,3,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,5723.9,327.985,16.7718,0.82963,10,0.0740741,353.378,24,1.8664e+06,1.86705e+06,116836,116833
2,5,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,5767.77,325.49,18.6582,0.722581,48,0.309677,965.845,13,1.86734e+06,1.8676e+06,116836,116833
2,1,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,5774.51,325.11,20.8613,0.636364,92,0.522727,313.75,24,1.86512e+06,1.87108e+06,116836,116833
2,2,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,5784.05,324.574,15.2945,1,1,0.00769231,554.985,24,1.86531e+06,1.86619e+06,116836,116833
2,7,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,5818.54,322.65,19.4413,0.801205,69,0.415663,403.976,20,1.86429e+06,1.90869e+06,116836,116833
2,4,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,6622.85,283.466,13.239,1,0,0,355.25,24,1.86541e+06,1.87177e+06,116836,116833
2,8,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,5609.65,334.665,21.8623,0.548872,0,0,537.729,19,1.9711e+06,1.86602e+06,116836,116833
2,6,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256f,5613.28,334.448,22.0306,0.532847,0,0,326.701,15,1.90194e+06,1.86689e+06,116836,116833
