scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5613.72,220.051,12.2642,1,10,0.104167,336.25,20,1.86468e+06,1.86438e+06,76708,76705
2,3,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5646.86,218.759,21.6956,0.645349,160,0.930233,442.605,24,1.86396e+06,1.86708e+06,76708,76705
2,5,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5696.22,216.864,11.5642,1,7,0.0736842,731.263,13,1.86505e+06,1.86444e+06,76708,76705
2,2,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5699.3,216.746,10.8027,1,1,0.0108696,498,24,1.86534e+06,1.86315e+06,76708,76705
2,6,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5704.68,216.542,11.3198,1,11,0.114583,287.083,11,1.86514e+06,1.8618e+06,76708,76705
2,7,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5712.54,216.244,11.9541,1,21,0.205882,267.098,20,1.86561e+06,1.86243e+06,76708,76705
2,1,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5722.55,215.866,11.7989,1,18,0.178218,283.505,24,1.86548e+06,1.86324e+06,76708,76705
2,4,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,6602.48,187.097,9.20624,1,0,0,311.244,24,1.86362e+06,1.86333e+06,76708,76705
2,8,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5598.9,220.633,15.3316,1,0,0,364.383,19,1.86358e+06,1.8635e+06,76708,76705
2,3,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5607.45,220.297,15.1969,1,0,0,491.978,24,1.86401e+06,1.8628e+06,76708,76705
2,5,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5605.85,220.36,17.9727,1,0,0,1170.54,14,1.86286e+06,1.86281e+06,76708,76705
2,2,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5614.15,220.034,16.8916,1,48,0.489796,819.755,24,1.86584e+06,1.86284e+06,76708,76705
2,6,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5647.68,218.728,16.1426,1,23,0.244681,453.787,15,1.86503e+06,1.86239e+06,76708,76705
2,1,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5646.49,218.774,16.2366,1,23,0.239583,481.792,24,1.86336e+06,1.86344e+06,76708,76705
2,7,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5681.82,217.413,20.1654,0.984615,88,0.676923,691.046,15,1.86337e+06,1.86175e+06,76708,76705
2,4,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5601.3,220.539,19.3241,0.832,63,0.504,507.632,24,1.97225e+06,1.86207e+06,76708,76705
2,8,2,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5604.73,220.404,15.3156,0.446809,0,0,335.617,16,1.87018e+06,1.86258e+06,76708,76705
2,3,2,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5596.67,220.721,15.2719,0.565217,0,0,469.783,24,1.86863e+06,1.86164e+06,76708,76705
2,5,2,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHA2-256s,5599.55,220.608,17.0414,0.553191,83,0.882979,811.319,13,1.86367e+06,1.8622e+06,76708,76705
