scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5613.42,94.9225,6.91486,1,10,0.188679,198.83,20,1.86179e+06,1.86485e+06,32804,32801
2,6,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5634.54,94.5667,5.45776,1,0,0,234.596,11,1.86294e+06,1.86426e+06,32804,32801
2,3,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5662.48,94.1001,8.16038,0.890625,31,0.484375,178.625,24,1.8628e+06,1.86447e+06,32804,32801
2,1,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5671.02,93.9584,6.61045,0.982759,18,0.310345,194.069,24,1.86159e+06,1.863e+06,32804,32801
2,2,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5673.28,93.921,5.55869,1,1,0.0204082,287.143,24,1.86509e+06,1.86478e+06,32804,32801
2,7,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5674.85,93.895,8.69239,0.76,53,0.706667,192.027,20,1.86248e+06,1.86228e+06,32804,32801
2,5,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5696.3,93.5414,6.2918,1,7,0.134615,435.385,13,1.86195e+06,1.90221e+06,32804,32801
2,4,0,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,6597.7,80.7615,4.66102,1,0,0,198.34,24,1.86186e+06,1.86316e+06,32804,32801
2,8,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5594.15,95.2494,8.07414,0.826087,0,0,390.609,19,1.86432e+06,1.86475e+06,32804,32801
2,6,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5602.14,95.1136,8.01693,0.844444,0,0,395.333,15,1.86243e+06,1.87106e+06,32804,32801
2,3,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5597.43,95.1937,8.02368,0.844444,0,0,395.333,24,1.86583e+06,1.86472e+06,32804,32801
2,1,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5594.08,95.2507,10.1221,0.612903,33,0.532258,449.161,24,1.86171e+06,1.86276e+06,32804,32801
2,2,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5610.63,94.9696,8.05043,1,0,0,616.696,24,1.86269e+06,1.87328e+06,32804,32801
2,7,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5611.85,94.9491,9.61394,1,45,0.918367,511.714,15,1.86528e+06,1.86426e+06,32804,32801
2,5,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5599.04,95.1663,8.91581,0.847826,0,0,1127.13,14,1.86243e+06,1.86397e+06,32804,32801
2,4,1,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5595.81,95.2212,8.026,0.866667,0,0,483.333,24,1.86157e+06,1.86394e+06,32804,32801
2,8,2,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5607.84,95.017,8.05444,0.608696,0,0,384.261,16,1.86163e+06,1.87666e+06,32804,32801
2,6,2,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5600.56,95.1405,8.06491,0.608696,0,0,356.261,17,1.86401e+06,1.86563e+06,32804,32801
2,3,2,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5597.6,95.1908,8.15206,0.608696,1,0.0217391,387.913,24,1.86173e+06,1.86609e+06,32804,32801
2,1,2,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5599.58,95.1571,9.635,0.571429,45,0.918367,683.306,24,1.86406e+06,1.86241e+06,32804,32801
2,2,2,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5597.41,95.194,8.02371,0.111111,0,0,686.444,24,1.87367e+06,1.86289e+06,32804,32801
2,7,2,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5620.33,94.8058,8.66568,0.0980392,11,0.215686,382.863,11,1.86407e+06,1.86708e+06,32804,32801
2,5,2,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5616.69,94.8672,8.97895,0.104167,0,0,925.167,12,1.86215e+06,1.86474e+06,32804,32801
2,4,2,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5599.44,95.1595,8.0208,0.111111,0,0,468.933,24,1.86247e+06,1.86614e+06,32804,32801
2,8,3,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5599.9,95.1516,8.06585,0,0,0,356.261,10,1.86306e+06,1.86612e+06,32804,32801
2,6,3,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5609.65,94.9863,8.0062,0,0,0,395.333,17,1.86118e+06,1.87755e+06,32804,32801
2,3,3,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5597.81,95.1872,8.02314,0,0,0,412.4,24,1.86195e+06,1.86455e+06,32804,32801
2,1,3,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5607.52,95.0223,8.00924,0,0,0,433.822,24,1.8624e+06,1.86722e+06,32804,32801
2,2,3,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5597.9,95.1857,8.06874,0,0,0,565.913,24,1.865e+06,1.86676e+06,32804,32801
2,7,3,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5601.44,95.1255,8.01793,0,0,0,395.333,20,1.86512e+06,1.86785e+06,32804,32801
2,5,3,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5598.22,95.1802,8.02254,0,0,0,629.556,9,1.86264e+06,1.86293e+06,32804,32801
2,4,3,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5598.08,95.1827,8.06849,0,0,0,390.609,24,1.87042e+06,1.86333e+06,32804,32801
2,8,4,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5599.61,95.1566,8.06628,0,0,0,356.261,10,1.86076e+06,1.86482e+06,32804,32801
2,6,4,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5597.28,95.1963,8.06964,0,0,0,356.261,23,1.86223e+06,1.86397e+06,32804,32801
2,3,4,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5601.81,95.1192,8.0174,0,0,0,395.333,24,1.86407e+06,1.87065e+06,32804,32801
2,1,4,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5600.31,95.1448,8.01956,0,0,0,433.822,24,1.86862e+06,1.86452e+06,32804,32801
2,2,4,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5593.59,95.2591,8.0292,0,0,0,629.556,24,1.87169e+06,1.8631e+06,32804,32801
2,7,4,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5594.37,95.2458,8.02808,0,0,0,395.333,21,1.86555e+06,1.86448e+06,32804,32801
2,5,4,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5604.32,95.0766,8.01382,0,0,0,629.556,12,1.86394e+06,1.86484e+06,32804,32801
2,4,4,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5594.14,95.2498,8.07417,0,0,0,390.609,24,1.86809e+06,1.86458e+06,32804,32801
2,8,5,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5596.32,95.2126,8.07102,0,0,0,356.261,12,1.86131e+06,1.86395e+06,32804,32801
2,6,5,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5594.81,95.2382,8.07319,0,0,0,356.261,18,1.86079e+06,1.86366e+06,32804,32801
2,3,5,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5596.09,95.2165,8.02561,0,0,0,395.333,24,1.8622e+06,1.86264e+06,32804,32801
2,1,5,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5599.46,95.1592,8.02078,0,0,0,433.822,24,1.8615e+06,1.86269e+06,32804,32801
2,2,5,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5612.76,94.9338,8.00177,0,0,0,629.556,24,1.8614e+06,1.872e+06,32804,32801
2,7,5,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5606.06,95.0472,8.01133,0,0,0,395.333,24,1.86324e+06,1.86747e+06,32804,32801
2,5,5,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5595.75,95.2222,8.02609,0,0,0,629.556,7,1.86198e+06,1.86382e+06,32804,32801
2,4,5,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5598.64,95.1731,8.06767,0,0,0,390.609,24,1.86545e+06,1.86547e+06,32804,32801
2,8,6,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5593.72,95.2568,8.07477,0,0,0,356.261,12,1.86354e+06,1.86272e+06,32804,32801
2,6,6,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5599.49,95.1587,8.06645,0,0,0,356.261,16,1.86243e+06,1.86392e+06,32804,32801
2,3,6,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5597.08,95.1997,8.02419,0,0,0,395.333,24,1.86073e+06,1.8636e+06,32804,32801
2,1,6,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5595.1,95.2334,8.02703,0,0,0,433.822,24,1.8643e+06,1.86454e+06,32804,32801
2,2,6,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5601.2,95.1296,8.01828,0,0,0,629.556,24,1.86516e+06,1.86605e+06,32804,32801
2,7,6,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5597.69,95.1892,8.02331,0,0,0,395.333,20,1.86324e+06,1.86406e+06,32804,32801
2,5,6,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5604.57,95.0723,8.01345,0,0,0,629.556,9,1.86179e+06,1.86488e+06,32804,32801
2,4,6,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5608.03,95.0137,8.05416,0,0,0,388,24,1.86387e+06,1.87559e+06,32804,32801
2,8,7,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5597.78,95.1877,8.02318,0,0,0,395.333,15,1.86207e+06,1.8633e+06,32804,32801
2,6,7,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5597.23,95.1971,8.0697,0,0,0,356.261,10,1.86199e+06,1.86284e+06,32804,32801
2,3,7,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5607.53,95.0222,8.00923,0,0,0,395.333,24,1.86493e+06,1.86308e+06,32804,32801
2,1,7,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5605.79,95.0517,8.01172,0,0,0,433.822,24,1.86237e+06,1.87229e+06,32804,32801
2,2,7,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5599.45,95.1594,8.06651,0,0,0,565.913,24,1.86326e+06,1.86509e+06,32804,32801
2,7,7,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5595.47,95.2271,8.0265,0,0,0,456.667,24,1.8628e+06,1.86232e+06,32804,32801
2,5,7,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5596.93,95.2022,8.07014,0,0,0,390.609,12,1.86645e+06,1.86305e+06,32804,32801
2,4,7,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-192s_signed-by_SLH-DSA-SHAKE-128s,5596.48,95.2099,8.07079,0,0,0,360.087,24,1.86348e+06,1.86358e+06,32804,32801
