scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,538.079,1875.01,110.08,0.573171,10,0.121951,251.805,15,173185,173755,62558,62555
2,3,0,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,574.203,1757.05,132.329,0.443396,57,0.537736,247.585,24,173322,173086,62558,62555
2,6,0,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,598.223,1686.5,85.5332,0.618421,0,0,266.263,9,173460,174611,62558,62555
2,7,0,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,616.296,1637.04,83.025,0.618421,0,0,246.421,16,176844,173392,62558,62555
2,5,0,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,621.165,1624.21,90.5653,0.580247,7,0.0864198,622.543,15,173583,173115,62558,62555
2,2,0,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,627.128,1608.77,82.4329,0.61039,1,0.012987,371.662,24,174039,174038,62558,62555
2,1,0,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,635.031,1588.75,93.8536,0.522222,22,0.244444,267.822,24,173246,173491,62558,62555
2,8,1,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,523.592,1926.89,135.8,0.538462,0,0,372.974,16,173299,173640,62558,62555
2,3,1,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,524.945,1921.92,134.475,0.552632,0,0,422,24,173277,173380,62558,62555
2,6,1,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,525.258,1920.78,135.37,0.538462,0,0,341.641,10,173182,174433,62558,62555
2,7,1,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,523.956,1925.55,134.729,0.552632,0,0,457.632,17,174141,173292,62558,62555
2,5,1,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,534.434,1887.8,161.157,0.518519,0,0,1035.28,15,173247,173159,62558,62555
2,2,1,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,550.79,1831.74,164.418,0.5,59,0.702381,825.333,24,173078,173967,62558,62555
2,1,1,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,577.228,1747.84,133.271,0.654321,25,0.308642,486.543,24,173254,183236,62558,62555
2,4,0,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,1533.76,657.799,33.5281,1,0,0,266.104,24,177723,173372,62558,62555
2,8,2,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,522.079,1932.47,135.213,0.144737,0,0,422,17,173442,173057,62558,62555
2,3,2,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,523.242,1928.18,134.913,0.144737,0,0,442.579,24,173950,173221,62558,62555
2,6,2,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,524.959,1921.87,135.447,0.141026,0,0,341.641,10,173478,174447,62558,62555
2,7,2,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,523.845,1925.96,134.757,0.144737,0,0,422,18,173173,173723,62558,62555
2,5,2,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,524.2,1924.65,145.685,0.1375,0,0,529.05,15,173497,172979,62558,62555
2,2,2,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,536.434,1880.76,152.503,0.135802,23,0.283951,684.914,24,173626,173843,62558,62555
2,1,2,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,524.858,1922.24,134.497,0,0,0,509.632,24,173120,173786,62558,62555
2,4,1,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,523.72,1926.42,134.789,0,0,0,515.842,24,173460,173475,62558,62555
2,8,3,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,524.828,1922.35,135.481,0,0,0,341.641,18,173072,173586,62558,62555
2,3,3,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,523.856,1925.91,134.754,0,0,0,422,24,173552,173508,62558,62555
2,6,3,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,525.299,1920.62,135.359,0,0,0,341.641,10,174040,175703,62558,62555
2,7,3,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,SLH-DSA-SHA2-256f_signed-by_ML-DSA-87,523.31,1927.92,134.895,0,0,0,422,19,173134,173877,62558,62555
