scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,546.265,2501.77,136.578,0.817308,10,0.0961538,289.077,15,176324,176498,84916,84913
2,6,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,609.149,2243.51,109.661,0.858586,0,0,291.172,9,176505,176520,84916,84913
2,1,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,664.784,2055.75,101.278,0.85,1,0.01,307.92,24,175710,176584,84916,84913
2,3,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,666.336,2050.96,134.25,0.674603,51,0.404762,306.317,24,176697,176315,84916,84913
2,7,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,667.899,2046.17,100.015,0.858586,0,0,343.818,16,177023,176253,84916,84913
2,2,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,668.33,2044.85,101.124,0.841584,1,0.00990099,504.614,24,175889,175869,84916,84913
2,5,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,668.498,2044.33,163.423,0.537975,111,0.702532,950.354,15,176163,178845,84916,84913
2,8,1,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,644.169,2121.54,142.82,1,0,0,420.447,17,176193,176009,84916,84913
2,6,1,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,619.327,2206.64,237.626,1,157,0.862637,336.33,10,175895,176809,84916,84913
2,1,1,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,570.339,2396.17,170.537,1,0,0,476.705,24,176282,175914,84916,84913
2,5,1,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHA2-128f,579.302,2359.1,219.105,1,82,0.745455,1015.35,15,176101,176710,84916,84913
