scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,539.584,1985.25,113.777,0.823529,10,0.117647,275.035,15,174382,174315,66452,66449
2,6,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,566.215,1891.87,94.1832,0.886076,0,0,287.772,9,175604,174567,66452,66449
2,7,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,615.053,1741.65,108.947,0.714286,19,0.193878,275.959,16,173908,175654,66452,66449
2,1,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,622.59,1720.57,87.7366,0.843373,1,0.0120482,290.145,24,174554,174191,66452,66449
2,2,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,630.969,1697.72,85.3543,0.875,1,0.0125,407.5,24,174979,174335,66452,66449
2,3,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,639.152,1675.98,153.979,0.507143,114,0.814286,269.229,24,174416,174465,66452,66449
2,5,0,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,644.207,1662.83,96.5652,1,18,0.2,684.311,15,174332,175501,66452,66449
2,8,1,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,532.587,2011.33,138.043,1,0,0,369.024,16,173966,175062,66452,66449
2,6,1,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,525.182,2039.69,138.527,1,0,0,444.684,10,175259,173870,66452,66449
2,7,1,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,526.017,2036.45,139.676,1,1,0.0125,477.4,17,174468,174124,66452,66449
2,1,1,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,532.779,2010.6,157.904,1,192,2.25882,593.718,24,173953,174287,66452,66449
2,2,1,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,SLH-DSA-SHA2-256f_signed-by_SLH-DSA-SHAKE-128s,534.657,2003.54,145.439,1,0,0,703.45,24,174614,174432,66452,66449
