scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,4959.19,120.337,8.40782,0.421053,10,0.175439,212.596,19,1.64632e+06,1.64755e+06,36800,36797
2,6,0,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,4974.1,119.977,6.76143,0.470588,0,0,244.431,10,1.64428e+06,1.64457e+06,36800,36797
2,3,0,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,4974.18,119.975,8.38249,0.421053,10,0.175439,196.737,24,1.64641e+06,1.64852e+06,36800,36797
2,5,0,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,5012.75,119.052,9.19894,0.522388,28,0.41791,469.403,14,1.64617e+06,1.64727e+06,36800,36797
2,2,0,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,5014.31,119.015,6.81251,0.673077,1,0.0192308,313.615,24,1.64543e+06,1.64566e+06,36800,36797
2,1,0,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,5020.04,118.879,6.85573,0.943396,1,0.0188679,200.415,24,1.64323e+06,1.64591e+06,36800,36797
2,7,0,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,5022.7,118.816,6.74697,0.961538,0,0,196.846,20,1.64673e+06,1.6503e+06,36800,36797
2,4,0,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,5947.8,100.336,5.65453,1,0,0,216.902,24,1.64505e+06,1.64846e+06,36800,36797
2,8,1,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,4943.16,120.728,9.7201,0.94,0,0,400.64,20,1.64496e+06,1.64586e+06,36800,36797
2,6,1,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,4945.76,120.664,9.71498,0.94,0,0,408.4,16,1.64799e+06,1.64752e+06,36800,36797
2,3,1,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,4955.45,120.428,10.8454,0.903846,23,0.442308,424.769,24,1.64611e+06,1.6459e+06,36800,36797
2,5,1,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,SLH-DSA-SHA2-256s_signed-by_ML-DSA-44,4945.92,120.66,12.885,0.666667,43,0.796296,1303.11,13,1.64925e+06,1.64818e+06,36800,36797
