scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,4976.2,329.628,17.3594,0.652893,10,0.0826446,344.512,19,1.65151e+06,1.64874e+06,102020,102017
2,6,0,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,5032.95,325.912,15.5106,0.692982,0,0,324.807,10,1.64896e+06,1.6493e+06,102020,102017
2,5,0,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,5070.58,323.493,16.6829,0.652893,9,0.0743802,847.091,14,1.64892e+06,1.65012e+06,102020,102017
2,3,0,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,5076.35,323.125,17.0169,0.652893,10,0.0826446,315.686,24,1.64899e+06,1.65017e+06,102020,102017
2,1,0,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,5102.93,321.442,20.0544,0.66,66,0.44,361.067,24,1.65322e+06,1.65002e+06,102020,102017
2,7,0,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,5109.49,321.029,15.3283,1,0,0,345.791,20,1.64941e+06,1.65238e+06,102020,102017
2,2,0,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,5109.64,321.02,20.1157,0.796053,67,0.440789,739.737,24,1.64888e+06,1.6489e+06,102020,102017
2,4,0,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,5959.29,275.25,13.0995,1,0,0,359.754,24,1.65048e+06,1.65089e+06,102020,102017
2,8,1,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,4953.48,331.14,20.9501,0.9,0,0,361.167,20,1.64903e+06,1.64958e+06,102020,102017
2,6,1,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHA2-256s_signed-by_SLH-DSA-SHAKE-192f,4953.6,331.132,21.8056,0.915254,0,0,484.271,16,1.64834e+06,1.64856e+06,102020,102017
