scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,204.285,4120.86,254.703,0.611111,10,0.138889,219.389,14,63561.5,63765.5,52116,52113
2,3,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,233.402,3606.78,266.938,0.505747,39,0.448276,202.598,24,63615.4,64096.5,52116,52113
2,6,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,253.821,3316.64,173.224,0.666667,0,0,240.909,8,63779.9,63917.5,52116,52113
2,7,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,273.87,3073.83,205.236,0.53012,17,0.204819,221.663,16,63683.2,64022.2,52116,52113
2,1,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,278.671,3020.88,201.7,0.52381,34,0.404762,250.905,24,63715.6,63744.4,52116,52113
2,5,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,282.155,2983.57,173.861,0.619718,7,0.0985915,518.451,15,63992.4,63726.5,52116,52113
2,2,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,285.199,2951.73,156.017,1,1,0.0149254,321.701,24,64268.2,63627,52116,52113
2,8,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,189.613,4439.73,334.323,1,0,0,435.273,15,63901.3,63612.2,52116,52113
2,3,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,277.687,3031.58,257.671,1,21,0.2625,358.45,24,63760.5,63586.7,52116,52113
2,7,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,257.399,3270.53,267.227,1,58,0.84058,487.565,16,63671.9,63667.3,52116,52113
2,6,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,280.117,3005.29,275.828,1,39,0.453488,372.419,9,63757.3,63535.6,52116,52113
2,5,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,274.746,3064.03,345.919,1,67,0.893333,1285.41,15,64033,63701.6,52116,52113
2,2,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,274.981,3061.41,256.482,1,21,0.276316,609.526,24,63819.2,63936.8,52116,52113
2,1,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,283.776,2966.53,260.937,1,114,1.60563,517.38,24,63962.8,63696,52116,52113
2,8,2,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,210.978,3990.14,355.98,0.830986,26,0.366197,426.113,15,63729.8,63642.8,52116,52113
2,3,2,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128f,232.371,3622.79,273.907,1,0,0,390.179,24,63599.1,63931.9,52116,52113
