scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,198.851,2747.74,195.201,1,10,0.188679,198.83,14,62003.6,61768,33651,33648
2,3,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,214.594,2546.16,180.881,1,10,0.188679,184.415,24,62659.5,61686.5,33651,33648
2,6,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,226.406,2413.32,135.826,1,0,0,234.596,8,62485.6,62090.1,33651,33648
2,5,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,249.528,2189.7,190.568,0.811594,40,0.57971,485.072,15,62184.5,61684,33651,33648
2,7,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,257.72,2120.1,120.316,1,0,0,180.333,16,61932.4,61821.8,33651,33648
2,2,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,263.95,2070.05,147.482,1,22,0.366667,275.467,24,62477.9,61680.1,33651,33648
2,1,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,264.855,2062.98,164.014,1,35,0.522388,202.239,24,62194.3,61707.1,33651,33648
2,8,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,221.884,2462.5,236.88,1,21,0.368421,381.789,15,62029,61528.6,33651,33648
2,3,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,209.289,2610.7,214.592,1,0,0,400.667,24,61939.4,61608.6,33651,33648
2,6,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,214.762,2544.17,281.316,1,44,0.647059,328.824,9,62376.2,62243.6,33651,33648
2,5,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,198.727,2749.45,280.988,1,43,0.877551,1314.57,15,62535.7,61631.7,33651,33648
2,2,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,195.653,2792.65,232.166,0.914894,0,0,612.723,24,62443.6,61763.2,33651,33648
2,7,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,221.912,2462.19,232.596,1,24,0.489796,443.388,16,62371.5,61794.3,33651,33648
2,1,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,224.349,2435.45,228.714,1,24,0.48,434.88,24,62065.8,61655.5,33651,33648
2,8,2,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,185.034,2952.93,244.106,0.956522,0,0,420.522,15,62075.7,61657.7,33651,33648
2,3,2,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,206.698,2643.42,235.628,0.862745,11,0.215686,368.196,24,62133.3,61875.9,33651,33648
2,6,2,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,195.746,2791.32,248.811,0.862745,11,0.215686,365.059,9,62243.7,61613.8,33651,33648
2,5,2,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,194.577,2808.09,257.872,0.93617,0,0,952.298,15,62565,61667.9,33651,33648
2,2,2,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,191.617,2851.47,234.384,0.977778,0,0,695.156,24,62049.7,62080.9,33651,33648
2,7,2,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,189.822,2878.43,284.223,0.897959,45,0.918367,506.327,16,62063.6,61688.8,33651,33648
2,1,2,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,192.224,2842.46,265.938,0.428571,23,0.469388,521.673,24,62052.4,61833.2,33651,33648
2,8,3,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,184.747,2957.5,243.099,0,0,0,400.667,16,62168.2,61586,33651,33648
2,3,3,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,184.49,2961.63,243.438,0,0,0,417.733,24,62057.9,61492.4,33651,33648
2,6,3,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,185.777,2941.11,243.13,0,0,0,361.478,9,62061.3,61713.2,33651,33648
2,5,3,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,187.03,2921.41,241.501,0,0,0,574.435,15,62416.5,61553.4,33651,33648
2,2,3,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,188.739,2894.95,239.314,0,0,0,574.435,24,62069.8,61677.7,33651,33648
2,7,3,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,186.725,2926.17,240.524,0,0,0,439.689,16,62024.1,61768.8,33651,33648
2,1,3,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,183.826,2972.32,244.317,0,0,0,439.689,24,62509.5,61603.7,33651,33648
2,8,4,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,187.696,2911.03,240.643,0,0,0,361.478,16,62053.8,62321.5,33651,33648
2,3,4,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,183.791,2972.88,244.363,0,0,0,400.667,24,61973,61883.6,33651,33648
2,6,4,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,182.96,2986.39,245.473,0,0,0,400.667,9,62134.1,61511.9,33651,33648
2,5,4,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,184.304,2964.61,245.072,0.478261,0,0,574.435,15,62016.9,61698,33651,33648
2,2,4,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,185.303,2948.63,242.369,0.488889,0,0,638.267,24,62120.8,61697.9,33651,33648
2,7,4,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,185.969,2938.07,241.501,0.488889,0,0,439.689,17,62024.4,61884.6,33651,33648
2,1,4,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,183.747,2973.6,244.422,0.488889,0,0,439.689,24,62090.3,61684.3,33651,33648
2,8,5,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,191.334,2855.7,234.731,0.6,0,0,400.667,17,61920.2,61642.3,33651,33648
2,3,5,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,189.884,2877.5,256.493,0.529412,11,0.215686,365.843,24,62551.6,61675.5,33651,33648
2,4,0,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,1198.12,456.041,25.6669,1,0,0,198.34,24,62285.5,61582.3,33651,33648
2,6,5,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,197.417,2767.7,273.289,0.55102,45,0.918367,481.265,10,61977.5,61921.7,33651,33648
2,5,5,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,193.703,2820.76,231.86,0.111111,0,0,638.267,15,61969.6,61573.2,33651,33648
2,2,5,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,189.457,2883.98,237.056,0.355556,0,0,638.267,24,62221.1,61755.8,33651,33648
2,7,5,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,185.217,2950,242.482,0.355556,0,0,439.689,17,62053.7,61640.7,33651,33648
2,1,5,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,186.298,2932.88,242.45,0.347826,0,0,430.957,24,62051.6,61577.6,33651,33648
2,8,6,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,209.378,2609.59,249.806,0.589286,21,0.375,353.714,17,62035.5,61593,33651,33648
2,3,6,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,200.766,2721.53,223.703,0.733333,0,0,400.667,24,62152.7,61840.1,33651,33648
2,4,1,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,194.933,2802.97,230.397,0.733333,0,0,489.911,24,62051.3,61677,33651,33648
2,6,6,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,196.386,2782.23,229.995,0.717391,0,0,392.783,10,62177.1,61624,33651,33648
2,5,6,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,196.625,2778.85,258.685,0.6875,23,0.479167,710.917,15,62016.7,61497.6,33651,33648
2,2,6,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,196.611,2779.04,233.394,0.468085,1,0.0212766,613.234,24,62057.7,61626.8,33651,33648
2,7,6,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,194.016,2816.21,231.485,0.488889,0,0,439.689,17,62407.4,61695.3,33651,33648
2,1,6,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,196.161,2785.42,259.296,0.458333,23,0.479167,469.75,24,61935.4,61644.3,33651,33648
2,8,7,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,188.85,2893.25,237.817,0.355556,0,0,400.667,17,61968.5,61511.1,33651,33648
2,3,7,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,185.496,2945.56,242.118,0.355556,0,0,400.667,24,62072.6,61841.7,33651,33648
2,4,2,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,190.697,2865.23,296.931,0.258065,33,0.532258,418.516,24,62021.3,62056.1,33651,33648
2,6,7,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,191.253,2856.9,234.829,0.355556,0,0,400.667,10,62291.3,61557.4,33651,33648
2,5,7,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,191.336,2855.66,234.728,0.355556,0,0,439.689,15,62821.3,61608.6,33651,33648
2,2,7,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,192.588,2837.09,233.202,0.355556,0,0,638.267,24,62089.7,63127.8,33651,33648
2,7,7,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,190.344,2870.54,235.951,0.355556,0,0,499.689,18,61970.9,61965,33651,33648
2,1,7,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,187.604,2912.46,239.397,0.355556,0,0,439.689,24,62095.4,61601.9,33651,33648
2,8,8,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,SLH-DSA-SHAKE-128f_signed-by_SLH-DSA-SHA2-128s,186.656,2927.26,240.613,0.133333,0,0,412.4,18,62062.4,62446,33651,33648
