scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,3596.19,78.9659,7.99069,0.846154,10,0.25641,168.974,16,1.19191e+06,1.19225e+06,17250,17247
2,3,0,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,3607.65,78.715,7.9653,0.846154,10,0.25641,157.385,24,1.191e+06,1.19161e+06,17250,17247
2,6,0,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,3609.03,78.6849,5.72786,1,0,0,223.939,9,1.19164e+06,1.19206e+06,17250,17247
2,7,0,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,3643.11,77.9487,5.8719,0.970588,1,0.0294118,139.059,17,1.19222e+06,1.19203e+06,17250,17247
2,5,0,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,3644.16,77.9264,9.16755,0.66,28,0.56,329.68,17,1.19181e+06,1.19198e+06,17250,17247
2,2,0,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,3646.43,77.8779,5.81391,0.970588,1,0.0294118,247.882,24,1.19116e+06,1.19179e+06,17250,17247
2,1,0,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,3658.31,77.6249,7.49198,1,18,0.409091,169.182,24,1.19218e+06,1.1915e+06,17250,17247
2,4,0,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,4580.2,62.0008,4.51334,1,0,0,149.273,24,1.19151e+06,1.19129e+06,17250,17247
2,8,1,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,3576.02,79.4112,9.74043,1,0,0,340.839,21,1.1915e+06,1.1924e+06,17250,17247
2,3,1,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,3579.36,79.3372,9.73136,1,0,0,311.032,24,1.19238e+06,1.19241e+06,17250,17247
2,6,1,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,3578.41,79.358,9.73392,1,0,0,311.032,14,1.19166e+06,1.19129e+06,17250,17247
2,5,1,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,3590.14,79.0987,13.6685,1,60,1.62162,1440.81,12,1.19755e+06,1.19147e+06,17250,17247
2,7,1,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128s_signed-by_ML-DSA-65,3601.56,78.848,12.5235,1,46,1.21053,427.684,20,1.19107e+06,1.19145e+06,17250,17247
