scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3676.11,474.199,24.6739,0.866142,10,0.0787402,359.071,16,1.19604e+06,1.2151e+06,108452,108449
2,6,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3767.43,462.705,21.9354,0.909091,0,0,332.479,8,1.19539e+06,1.21435e+06,108452,108449
2,3,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3773.22,461.995,29.0511,0.714286,63,0.409091,329.844,24,1.19483e+06,1.21515e+06,108452,108449
2,1,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3808.59,457.705,26.4749,0.966216,51,0.344595,304.108,24,1.19676e+06,1.21435e+06,108452,108449
2,5,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3813.96,457.06,26.8949,0.966216,48,0.324324,755.784,17,1.19693e+06,1.21507e+06,108452,108449
2,2,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3818.32,456.538,26.7343,1,54,0.362416,533.517,24,1.19541e+06,1.21465e+06,108452,108449
2,7,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3824.51,455.798,24.1892,1,13,0.0955882,342.206,17,1.19868e+06,1.21547e+06,108452,108449
2,4,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,4660.13,374.069,17.7334,1,0,0,357.636,24,1.19517e+06,1.21487e+06,108452,108449
2,8,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3656.44,476.75,31.0028,1,0,0,355.781,21,1.19454e+06,1.21407e+06,108452,108449
2,6,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3653.27,477.164,30.8896,1,0,0,467.714,14,1.19438e+06,1.21359e+06,108452,108449
2,3,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3672.31,474.689,34.6724,1,68,0.519084,553.817,24,1.1965e+06,1.21409e+06,108452,108449
2,1,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3659.42,476.361,30.8376,1,0,0,552.349,24,1.19581e+06,1.21476e+06,108452,108449
2,2,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3670.6,474.91,40.1329,1,152,0.91018,886.359,24,1.19545e+06,1.21458e+06,108452,108449
2,5,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3698.15,471.373,40.3359,1,92,0.671533,1050.26,12,1.19466e+06,1.2136e+06,108452,108449
2,7,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3709.82,469.89,37.7204,1,126,0.926471,601.176,19,1.19561e+06,1.21521e+06,108452,108449
2,4,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3655.94,476.815,30.797,0.512,0,0,567.856,24,1.19592e+06,1.21441e+06,108452,108449
2,8,2,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3655.37,476.89,34.0672,0.62963,66,0.488889,330.03,19,1.19559e+06,1.21485e+06,108452,108449
2,6,2,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3656.45,476.748,31.0727,0.410853,0,0,323.147,15,1.19432e+06,1.21435e+06,108452,108449
2,3,2,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3656.41,476.754,30.723,0.427419,0,0,498.742,24,1.19672e+06,1.21461e+06,108452,108449
2,1,2,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3654.79,476.965,30.7366,0.427419,0,0,535.677,24,1.19455e+06,1.21563e+06,108452,108449
2,2,2,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHA2-256f,3657.28,476.641,32.4351,0.407692,0,0,507.169,24,1.19538e+06,1.2145e+06,108452,108449
