scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3601.39,192.737,12.8484,0.53125,10,0.15625,206.875,16,1.19568e+06,1.19621e+06,42884,42881
2,6,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3622.92,191.591,10.5462,0.586207,0,0,233.172,9,1.19676e+06,1.19484e+06,42884,42881
2,5,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3669.27,189.171,13.8142,0.459459,28,0.378378,462.324,17,1.19918e+06,1.19463e+06,42884,42881
2,3,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3669.78,189.145,14.6232,0.453333,31,0.413333,185.733,24,1.19566e+06,1.19545e+06,42884,42881
2,7,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3674.94,188.879,10.3969,0.586207,0,0,195.172,17,1.19661e+06,1.19686e+06,42884,42881
2,2,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3678.43,188.7,10.5306,0.576271,1,0.0169492,302.949,24,1.19622e+06,1.19573e+06,42884,42881
2,1,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3678.48,188.698,10.6696,0.557377,1,0.0163934,244.557,24,1.1948e+06,1.19533e+06,42884,42881
2,4,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,4591.41,151.178,8.32162,1,0,0,211.31,24,1.19553e+06,1.1963e+06,42884,42881
2,8,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3586.83,193.519,16.1391,1,0,0,377.051,21,1.19509e+06,1.19507e+06,42884,42881
2,6,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3586.78,193.522,16.1393,1,0,0,343.966,14,1.19596e+06,1.19511e+06,42884,42881
2,5,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3591.46,193.27,17.4414,1,0,0,1084.1,12,1.19556e+06,1.19507e+06,42884,42881
2,3,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3605.32,192.527,15.9853,1,0,0,388.138,24,1.19495e+06,1.19751e+06,42884,42881
2,7,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3611.35,192.205,17.682,1,27,0.415385,390.123,19,1.19505e+06,1.19513e+06,42884,42881
2,2,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3619,191.799,21.5131,1,128,1.91045,976.269,24,1.19523e+06,1.195e+06,42884,42881
2,1,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3652.81,190.023,23.8764,1,176,2.41096,654.274,24,1.19534e+06,1.19889e+06,42884,42881
2,4,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3587.48,193.484,16.0647,0,0,0,473.241,24,1.19495e+06,1.19634e+06,42884,42881
2,8,2,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3587.14,193.502,16.1376,0,0,0,343.966,19,1.19521e+06,1.19529e+06,42884,42881
2,6,2,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3587.11,193.504,16.1378,0,0,0,343.966,16,1.19672e+06,1.19587e+06,42884,42881
2,5,2,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3593.3,193.17,16.11,0,0,0,545.525,15,1.1955e+06,1.1987e+06,42884,42881
2,3,2,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3590.01,193.347,16.0534,0,0,0,389.517,24,1.19463e+06,1.19725e+06,42884,42881
2,7,2,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-128f,3587.87,193.463,16.063,0,0,0,388.138,15,1.19555e+06,1.19615e+06,42884,42881
