scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,3595.28,185.445,12.4697,0.887097,10,0.16129,208.645,16,1.19382e+06,1.19216e+06,41172,41169
2,6,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,3616.85,184.339,10.1658,0.982143,0,0,236.571,9,1.19352e+06,1.19106e+06,41172,41169
2,1,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,3651.43,182.594,10.2141,0.964912,1,0.0175439,206.561,24,1.1937e+06,1.19114e+06,41172,41169
2,5,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,3658.01,182.265,11.4423,0.901639,7,0.114754,476.426,17,1.19383e+06,1.19156e+06,41172,41169
2,3,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,3658.97,182.217,18.2609,0.585106,72,0.765957,205.66,24,1.19709e+06,1.19181e+06,41172,41169
2,7,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,3663.67,181.984,12.0535,1,21,0.313433,190.955,17,1.19342e+06,1.19117e+06,41172,41169
2,2,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,3664.09,181.963,12.2486,1,23,0.333333,289.362,24,1.19302e+06,1.19111e+06,41172,41169
2,4,0,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,4581.78,145.517,8.02482,1,0,0,213.143,24,1.19955e+06,1.19332e+06,41172,41169
2,8,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,3577.22,186.381,15.7798,1,0,0,381.228,21,1.19322e+06,1.19131e+06,41172,41169
2,6,1,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-128s_signed-by_SLH-DSA-SHAKE-192s,3576.63,186.412,15.7825,1,0,0,347.474,14,1.19385e+06,1.19122e+06,41172,41169
