scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,328.208,5283.2,274.167,0.793651,10,0.0793651,338.667,15,102314,102315,107876,107873
2,1,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,440.443,3936.93,187.775,0.819672,1,0.00819672,328.393,24,103040,102303,107876,107873
2,5,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,445.343,3893.61,195.373,0.8,7,0.056,968.88,15,102947,102168,107876,107873
2,6,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,458.476,3782.08,210.506,0.794326,41,0.29078,344.213,9,102948,102159,107876,107873
2,3,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,464.806,3730.57,225.539,0.905405,51,0.344595,319.73,24,103045,102102,107876,107873
2,2,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,468.749,3699.19,237.739,1,82,0.506173,605.704,24,102386,102416,107876,107873
2,7,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,474.475,3654.54,211.804,1,53,0.358108,340.595,16,102608,102595,107876,107873
2,8,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,320.796,5405.26,351.126,1,0,0,357.402,15,102886,103701,107876,107873
2,2,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,481.779,3599.14,351.364,1,278,1.64497,1438.36,24,102534,102241,107876,107873
2,5,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,516.16,3359.41,323.558,1,113,0.818841,2033.97,15,104195,103017,107876,107873
2,7,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,498.959,3475.22,240.661,1,56,0.448,1023.63,16,102145,102615,107876,107873
2,3,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,530.904,3266.11,274.58,1,115,0.70122,633.049,24,102576,102254,107876,107873
2,6,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,547.001,3169.99,214.932,1,23,0.18254,620.254,9,102398,102314,107876,107873
2,8,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,384.135,4514.01,364.122,1,222,1.63235,1303.79,16,102962,102758,107876,107873
2,1,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,596.633,2906.29,224.701,1,175,1.13636,480.675,24,102531,102316,107876,107873
2,2,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,461.473,3757.51,306.011,1,122,0.818792,744.121,24,102923,102178,107876,107873
2,7,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,461.463,3757.59,242.429,1,0,0,462.968,18,102364,102110,107876,107873
2,5,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,510.442,3397.04,243.46,1,21,0.154412,617.971,15,102475,103940,107876,107873
2,3,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,477.756,3629.45,245.581,1,33,0.259843,441.339,24,102862,102862,107876,107873
2,4,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,1474.42,1176.05,65.6312,1,41,0.288732,358.648,24,103054,102428,107876,107873
2,6,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,469.783,3691.04,278.562,1,153,1.17692,521.754,10,102639,102252,107876,107873
2,8,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,461.943,3753.69,274.492,1,45,0.338346,561.429,17,102773,102197,107876,107873
2,1,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,462.894,3745.98,272.512,1,42,0.291667,548.833,24,102277,101995,107876,107873
2,4,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,451.263,3842.53,296.944,1,211,1.59848,1381.21,24,102371,101959,107876,107873
2,6,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,485.648,3570.46,269.66,1,110,0.780142,448.837,10,102222,101971,107876,107873
2,5,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,495.766,3497.6,304.434,1,171,1.125,1062.45,15,102333,102164,107876,107873
2,2,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,561.416,3088.6,292.289,1,133,0.675127,650.995,24,102907,102877,107876,107873
2,7,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,543.285,3191.68,328.755,1,187,0.846154,390.308,19,103157,102288,107876,107873
2,3,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,507.262,3418.33,241.547,1,210,1.62791,459.86,24,102681,101944,107876,107873
2,8,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,518.199,3346.19,387.65,1,335,1.57277,642.563,18,103016,102364,107876,107873
2,1,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,517.771,3348.95,238.592,1,28,0.212121,1059.97,24,102170,102083,107876,107873
2,4,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,467.348,3710.28,240.711,1,0,0,432.362,24,102628,102079,107876,107873
2,7,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,434.13,3994.18,293.258,1,92,0.681481,645.111,19,102299,102318,107876,107873
2,5,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,449.652,3856.29,326.225,1,130,0.866667,617.547,16,102542,102035,107876,107873
2,3,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,447.821,3872.06,293.939,1,50,0.37037,530.681,24,102408,102255,107876,107873
2,6,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,468.5,3701.16,287.18,1,61,0.403974,393.258,10,102328,101874,107876,107873
2,1,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,437.208,3966.06,309.637,1,175,1.27737,534.759,24,102808,101830,107876,107873
2,8,5,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,483.859,3583.67,238.648,1,5,0.0387597,504.202,18,102741,102247,107876,107873
2,2,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,572.695,3027.77,330.144,1,187,0.907767,823.146,24,102951,102821,107876,107873
2,7,5,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,443.033,3913.91,289.278,1,43,0.290541,369.027,18,102725,101765,107876,107873
2,4,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,490.09,3538.11,228.268,1,0,0,441.935,24,102437,102133,107876,107873
2,5,5,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,469.51,3693.19,281.416,1,53,0.360544,475.034,16,103362,101991,107876,107873
2,3,5,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,496.865,3489.86,290.429,1,263,1.74172,474.848,24,102320,102471,107876,107873
2,8,6,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,443.688,3908.13,379.798,1,270,1.35678,468.915,17,102648,101944,107876,107873
2,1,5,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,488.378,3550.51,274.05,1,67,0.440789,432.237,24,103417,102008,107876,107873
2,2,5,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,403.332,4299.16,457.112,1,264,1.29412,989.294,24,103069,102225,107876,107873
2,5,6,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,340.049,5099.24,344.468,0.920635,0,0,536.063,16,102579,101925,107876,107873
2,7,6,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,410.375,4225.38,282.785,0.878788,13,0.0984848,383.606,18,102595,102210,107876,107873
2,3,6,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,371.839,4663.28,300.861,1,0,0,403.323,24,102685,102276,107876,107873
2,1,6,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,356.319,4866.4,342.749,0.984375,134,1.04688,582.469,24,102752,102467,107876,107873
2,8,7,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,366.107,4736.29,344.685,1,49,0.382812,558.469,17,102646,102233,107876,107873
2,4,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,470.466,3685.68,255.542,1,26,0.185714,405.457,24,102675,102114,107876,107873
2,2,6,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,471.802,3675.25,266.417,1,52,0.374101,423.928,24,102610,102107,107876,107873
2,5,7,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,423.496,4094.47,305.23,1,49,0.324503,404.146,17,102633,101845,107876,107873
2,7,7,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,421.958,4109.39,296.636,1,43,0.307143,406.086,17,102289,102167,107876,107873
2,3,7,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,422.13,4107.71,399.08,1,333,1.70769,492.318,24,102457,102236,107876,107873
2,1,7,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,432.34,4010.71,436.915,1,268,1.20721,647.441,24,102170,102251,107876,107873
2,8,8,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,426.496,4065.67,352.341,1,105,0.621302,412.272,16,102791,102057,107876,107873
2,4,5,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,394.967,4390.21,354.986,1,69,0.45098,500.353,24,102925,102548,107876,107873
2,2,7,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,343.654,5045.74,325.536,1,0,0,581.645,24,103165,102231,107876,107873
2,5,8,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,484.908,3575.92,271.424,1,50,0.322581,706.981,16,102631,102229,107876,107873
2,7,8,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,455.38,3807.79,246.229,1,0,0,394.448,18,102962,102125,107876,107873
2,1,8,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,452.405,3832.83,340.863,1,118,0.7375,790.25,24,102396,102205,107876,107873
2,4,6,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,450.737,3847.01,309.147,1,141,1.00714,584.486,24,102359,102137,107876,107873
2,3,8,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,480.405,3609.44,260.547,1,127,0.907143,398.171,24,102308,101824,107876,107873
2,8,9,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,468.306,3702.68,288.392,1,50,0.326797,396.248,17,102349,101949,107876,107873
2,2,8,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,454.635,3814.03,379.486,1,319,1.68783,720.18,24,102828,102134,107876,107873
2,6,5,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,1800.71,962.948,73.1355,1,35,0.213415,224.22,9,102460,102546,107876,107873
2,7,9,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,498.848,3475.99,233.402,1,11,0.0827068,381.338,19,102557,101867,107876,107873
2,5,9,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,513.409,3377.4,331.868,1,186,0.907317,571.288,15,102721,102788,107876,107873
2,6,6,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,458.044,3785.64,279.973,1,108,0.8,793.467,9,102773,101880,107876,107873
2,1,9,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,510.681,3395.45,221.069,1,0,0,429.312,24,102181,101953,107876,107873
2,4,7,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,500.847,3462.12,235.281,1,105,0.813953,465.969,24,103026,102043,107876,107873
2,8,10,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,504.258,3438.7,292.898,1,167,0.982353,430.329,18,102365,102313,107876,107873
2,2,9,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,488.547,3549.28,302.874,1,402,2.56051,796.726,24,102636,102384,107876,107873
2,3,9,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,531.483,3262.55,258.807,1,202,1.41259,453.664,24,102990,102119,107876,107873
2,8,11,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,449.206,3860.12,273.05,1,57,0.438462,583.077,19,102674,101907,107876,107873
2,7,10,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,514.219,3372.08,248.734,1,44,0.29932,405.048,20,102100,102177,107876,107873
2,2,10,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,456.685,3796.9,266.617,1,194,1.53968,766.889,24,102436,102624,107876,107873
2,5,10,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192f,525.656,3298.72,221.498,1,11,0.0827068,422.331,14,102478,102277,107876,107873
