scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,313.024,3552.16,200.726,1,10,0.114943,287.195,15,99110,99791.5,68996,68993
2,6,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,358.365,3102.74,152.827,1,0,0,298.198,8,98820.2,99455.6,68996,68993
2,3,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,399.2,2785.35,181.603,1,38,0.365385,226.808,24,98739.5,100090,68996,68993
2,7,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,419.401,2651.18,167.82,1,41,0.386792,277.358,16,98936.4,100427,68996,68993
2,5,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,425.381,2613.91,190.85,0.905983,66,0.564103,973.966,15,98872.1,99480.1,68996,68993
2,2,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,432.192,2572.73,177.292,0.938053,60,0.530973,467.168,24,98878.8,99694.7,68996,68993
2,1,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,436.495,2547.36,128.441,1,1,0.0117647,296.494,24,99021.3,99677.8,68996,68993
2,8,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,308.136,3608.51,243.269,1,0,0,368.762,15,98883.1,99874.6,68996,68993
2,6,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,382.656,2905.77,198.319,1,2,0.0238095,388.667,9,99155.1,99307.3,68996,68993
2,7,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,336.348,3305.83,285.37,0.982143,60,0.535714,463.607,16,99179.7,99503.3,68996,68993
2,3,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,365.733,3040.23,203.558,1,0,0,396.537,24,98962.1,99252.7,68996,68993
2,5,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,352.001,3158.83,324.635,1,80,0.733945,1141.82,15,99280.5,99437.1,68996,68993
2,2,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,358.248,3103.74,251.58,1,83,0.965116,842.186,24,98994.5,99758.8,68996,68993
2,1,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,358.841,3098.62,206.754,1,0,0,501.654,24,99201.7,99456,68996,68993
2,8,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,300.208,3703.8,249.693,0.404762,0,0,340.095,16,99066.8,100343,68996,68993
2,6,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,303.38,3665.07,326.507,0.290598,70,0.598291,426.513,9,99179.9,99762.4,68996,68993
2,7,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,302.627,3674.19,245.159,0.419753,0,0,501.654,17,99164.1,100106,68996,68993
2,3,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,306.138,3632.06,242.348,0.419753,0,0,487.333,24,98819.4,99313.7,68996,68993
2,5,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,307.186,3619.67,257.824,0.414634,0,0,722,15,99361.6,99881.1,68996,68993
2,2,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,308.282,3606.8,256.907,0.414634,0,0,771.317,24,98942.2,100049,68996,68993
2,1,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,316.751,3510.36,251.655,0.404762,0,0,506.238,24,99367.6,99405.8,68996,68993
2,8,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,298.723,3722.21,250.935,0.238095,0,0,338,17,99025.2,99462,68996,68993
2,4,0,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,1333,834.143,41.0863,1,0,0,313.012,24,99508.3,100110,68996,68993
2,7,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,305.438,3640.38,243.742,0.243902,0,0,496,17,99284.9,99530.2,68996,68993
2,6,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,333.053,3338.54,266.576,0.196078,41,0.401961,422.353,10,99242.8,99691.8,68996,68993
2,3,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,313.396,3547.94,236.735,0.246914,0,0,455.827,24,98683.1,99989.1,68996,68993
2,5,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,310.6,3579.88,254.99,0.243902,0,0,722,15,98921.7,99600.3,68996,68993
2,2,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,309.26,3595.39,256.095,0.243902,0,0,722,24,98871.5,99519.2,68996,68993
2,1,3,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,316.025,3518.43,234.766,0.246914,0,0,501.654,24,99219.2,99295.7,68996,68993
2,8,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,299.456,3713.1,250.32,1,0,0,338,17,99122.4,99526.8,68996,68993
2,7,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,300.46,3700.69,246.928,1,0,0,501.654,18,99004.1,100071,68996,68993
2,4,1,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,338.032,3289.37,277.796,0.801887,42,0.396226,433.057,24,99237.8,99678.9,68996,68993
2,6,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,307.248,3618.93,241.472,1,0,0,455.827,10,98957.9,101375,68996,68993
2,3,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,311.378,3570.93,238.269,1,0,0,455.827,24,98960,99376.9,68996,68993
2,5,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,312.029,3563.48,253.822,1,0,0,722,15,99378.9,99430,68996,68993
2,2,4,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,315.668,3522.4,268.18,1,37,0.435294,738.565,24,99309.3,99508.9,68996,68993
2,8,5,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,303.985,3657.79,246.591,1,0,0,338,18,98899.8,99370.5,68996,68993
2,7,5,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,310.642,3579.4,256.192,1,120,1.42857,545.619,19,99081,100561,68996,68993
2,4,2,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,314.57,3534.7,248.72,1,11,0.125,471.773,24,99084.6,99423,68996,68993
2,6,5,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,SLH-DSA-SHAKE-192f_signed-by_SLH-DSA-SHAKE-192s,313.228,3549.84,254.025,0.452381,0,0,439.048,10,98981,99199.2,68996,68993
