scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,5450.79,266.502,14.395,1,10,0.0909091,336.582,20,1.80357e+06,1.80769e+06,90292,90289
2,6,0,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,5492.19,264.493,12.8182,1,0,0,295.923,10,1.80533e+06,1.80586e+06,90292,90289
2,3,0,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,5530.93,262.641,18.031,0.921986,70,0.496454,290.596,24,1.80315e+06,1.80482e+06,90292,90289
2,2,0,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,5545.77,261.938,18.3578,0.866667,87,0.58,462.24,24,1.80404e+06,1.807e+06,90292,90289
2,7,0,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,5561.64,261.191,12.6581,1,0,0,337.538,20,1.80551e+06,1.8045e+06,90292,90289
2,5,0,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,5564.11,261.074,17.3886,0.935714,67,0.478571,848.914,14,1.80418e+06,1.80338e+06,90292,90289
2,1,0,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,5570.64,260.768,12.8703,1,1,0.00925926,358.37,24,1.80378e+06,1.80531e+06,90292,90289
2,4,0,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,6423.01,226.163,10.9606,1,0,0,335.692,24,1.80432e+06,1.80345e+06,90292,90289
2,8,1,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,5422.07,267.914,18.5759,1,0,0,358.145,19,1.80409e+06,1.80426e+06,90292,90289
2,6,1,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,SLH-DSA-SHAKE-256s_signed-by_SLH-DSA-SHA2-256s,5422.37,267.899,18.6575,1,33,0.294643,333.536,16,1.80262e+06,1.80442e+06,90292,90289
