scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
3,8,0,ED25519_signed-by_ECDSA-SHA3-256,ED25519_signed-by_ECDSA-SHA3-256,27.523,976.344,597.607,0.7,13,0.65,200.6,14,1223.47,1270.22,1181,1178
3,3,0,RSA-SHA256_signed-by_RSA-SHA3-224,RSA-SHA256_signed-by_RSA-SHA3-224,41.94,997.413,409.342,1,14,0.666667,188.286,24,1178.61,1168.96,2116,2113
3,6,0,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,53.244,527.674,157.461,1,0,0,200,8,1551.42,1546.49,1258,1254
3,7,0,ECDSA-SHA256_signed-by_RSA-SHA3-224,ECDSA-SHA256_signed-by_RSA-SHA3-224,63.335,578.13,148.417,1,1,0.0625,176.625,16,2170.77,2185.38,1790,1787
3,2,0,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,66.279,524.446,112.735,1,1,0.0769231,188.154,24,307.799,312.433,1674,1671
3,8,1,ED25519_signed-by_ECDSA-SHA3-256,ED25519_signed-by_ECDSA-SHA3-256,44.849,599.158,585.067,1,23,1.04545,538.727,14,1184.17,1145.63,1181,1178
3,5,0,RSA-SHA3-224_signed-by_ECDSA-SHA3-512,RSA-SHA3-224_signed-by_ECDSA-SHA3-512,73.783,460.156,183.13,1,12,0.48,200.16,15,2075.49,2057.64,1623,1621
3,1,0,ED448_signed-by_ECDSA-SHA384,ED448_signed-by_ECDSA-SHA384,77.582,360.904,142.093,1,5,0.263158,182.632,24,1556.29,1519.08,1253,1247
3,3,1,RSA-SHA256_signed-by_RSA-SHA3-224,RSA-SHA256_signed-by_RSA-SHA3-224,37.346,1120.11,410.855,1,7,0.5,193.143,24,1139.65,1115.76,2116,2113
3,6,1,ED448_signed-by_ECDSA-SHA3-512,ED448_signed-by_ECDSA-SHA3-512,26.267,1069.63,467.201,1,0,0,738.889,8,1556.29,1511.29,1258,1254
