scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
4,5,0,ML-DSA-44_signed-by_SLH-DSA-SHA2-192s,ML-DSA-44_signed-by_SLH-DSA-SHA2-192s,92.652,6478.97,419.976,0.473684,19,0.333333,452.246,15,2716.3,2383.42,37020,37017
4,2,0,ML-DSA-87_signed-by_SLH-DSA-SHA2-192s,ML-DSA-87_signed-by_SLH-DSA-SHA2-192s,95.229,6889.58,381.396,0.490909,1,0.0181818,285.345,24,3303.97,2816.48,40507,40504
4,1,0,ML-DSA-87_signed-by_SLH-DSA-SHAKE-256s,ML-DSA-87_signed-by_SLH-DSA-SHAKE-256s,125.141,8714.31,444.426,0.310345,3,0.0344828,276.161,24,4006.33,3811.84,67659,67656
4,2,1,ML-DSA-87_signed-by_SLH-DSA-SHA2-192s,ML-DSA-87_signed-by_SLH-DSA-SHA2-192s,78.106,8399.96,702.839,0.226415,9,0.169811,1167.21,24,3254.54,4281.1,40507,40504
4,5,1,ML-DSA-44_signed-by_SLH-DSA-SHA2-192s,ML-DSA-44_signed-by_SLH-DSA-SHA2-192s,84.092,7138.54,712.741,0.2,10,0.166667,1828.4,15,3464.86,3303.1,37020,37017
4,1,1,ML-DSA-87_signed-by_SLH-DSA-SHAKE-256s,ML-DSA-87_signed-by_SLH-DSA-SHAKE-256s,65.151,16738.3,1129.68,0.148148,10,0.123457,1155.78,24,4495.48,4936.35,67659,67656
4,5,2,ML-DSA-44_signed-by_SLH-DSA-SHA2-192s,ML-DSA-44_signed-by_SLH-DSA-SHA2-192s,55.301,10854.9,950.129,0.591837,5,0.102041,1595.39,15,2361.81,2087.42,37020,37017
4,1,2,ML-DSA-87_signed-by_SLH-DSA-SHAKE-256s,ML-DSA-87_signed-by_SLH-DSA-SHAKE-256s,69.285,15739.6,1174.28,0.658824,13,0.152941,1159.55,24,3899.67,4654.13,67659,67656
4,5,3,ML-DSA-44_signed-by_SLH-DSA-SHA2-192s,ML-DSA-44_signed-by_SLH-DSA-SHA2-192s,86.417,6946.46,745.775,1,35,0.57377,1757.67,15,2537.4,2254.99,37020,37017
4,2,2,ML-DSA-87_signed-by_SLH-DSA-SHA2-192s,ML-DSA-87_signed-by_SLH-DSA-SHA2-192s,157.491,4165.85,565.159,1,180,2.27848,1679.01,24,5635.21,3717.62,40507,40504
4,1,3,ML-DSA-87_signed-by_SLH-DSA-SHAKE-256s,ML-DSA-87_signed-by_SLH-DSA-SHAKE-256s,134.912,8083.17,907.018,1,190,1.40741,1727.6,24,6144.17,3702.69,67659,67656
